Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,node_id,osmid,x,y,Node Density,Street Length,Degree,Clustering,Clustering (Weighted),Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Katz Centrality,PageRank,Footprint Proportion,Footprint Mean,Footprint Stdev,Perimeter Total,Perimeter Mean,Perimeter Stdev,Complexity Mean,Complexity Stdev,Building Count,PopSum,Men,Women,Elderly,Youth,Children,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Green View Mean,Green View Stdev,Sky View Mean,Sky View Stdev,Building View Mean,Building View Stdev,Road View Mean,Road View Stdev,Visual Complexity Mean,Visual Complexity Stdev,n,distance,feature_x,feature_y,nearest_x,nearest_y
"35",Southbank,SouthB_T,2016/04/11,Device replaced with two new sensors on 15-4-21,Outdoor,A,East,West,-37.82017828,144.96508877,"-37.82017828, 144.96508877","11254","164102362",144.9651785,-37.8204388,"1",199.859,"1",0,0,0.014,0.001,false,0.004,false,0.359,1832.53,1762.295,1814.363,201.596,139.194,30.984,13.432,"9","325","172","153","60","57","8","0","3","0","5","0","0","2",false,0.183981969486824,0.124898316267595,0.153417475728155,0.121625678803497,0.239201109570042,0.144292701411209,0.178064724919094,0.122097140885638,1.78789675148199,0.213449764606488,true,0.00027553973089406,144.96508877,-37.82017828,144.9651785,-37.8204388
"39",Alfred Place,AlfPl_T,2019/12/04,In 4/12/2019 sensor upgraded,Outdoor,A,North,South,-37.81379749,144.96995745,"-37.81379749, 144.96995745","12109","247022892",144.9703941,-37.813653,"11",1486.674,"1",0,0,0.014,0.001,false,0.004,false,0.504,1743.237,1767.166,3275.506,172.395,107.005,26.899,10.033,"19","72","38","33","5","8","1","0","6","0","4","0","0","1",false,0.300625,0.100843496142715,0.0385,0.0247097435958253,0.230875,0.0965763021804891,0.17,0.1266750623784,1.80146883860678,0.0774026088797442,true,0.000459935411318204,144.96995745,-37.81379749,144.9703941,-37.813653
"43",Monash Rd-Swanston St (West),UM2_T,2015/04/15,,Outdoor,A,North,South,-37.79844526,144.96411782,"-37.79844526, 144.96411782","49472","1492169323",144.9642037,-37.7985159,"5",1061.515,"3",0,0,0.01,0,false,0.004,false,0.391,1384.825,1436,2967.957,164.887,101.506,27.32,10.026,"18","289","119","169","1","255","1","0","1","2","10","0","0","8",false,0.104,0.126213340936908,0.219,0.120001416679328,0.28,0.10004359107469,0.112,0.154496105951945,2.12675495575707,0.190920284511256,true,0.0001111997481995,144.96411782,-37.79844526,144.9642037,-37.7985159
"45",Little Collins St-Swanston St (East),Swa148_T,2017/06/29,,Outdoor,A,North,South,-37.81414075,144.96609379,"-37.81414075, 144.96609379","9116","176718238",144.9663061,-37.8139601,"11",1548.333,"1",0,0,0.014,0.001,false,0.004,false,0.548,901.5,1285.692,3788.078,108.231,73.533,20.877,6.655,"35","131","64","67","7","45","2","0","37","3","25","0","0","1",false,0.17925,0.0899964285005641,0.05225,0.0438169895295029,0.210875,0.0583938291749589,0.23625,0.160054231880501,1.92022480157035,0.165914709903952,true,0.000278765059856553,144.96609379,-37.81414075,144.9663061,-37.8139601
"47",Melbourne Central-Elizabeth St (East),Eli250_T,2017/08/24,,Outdoor,A,North,South,-37.81160332,144.96220077,"-37.81160332, 144.96220077","73874","8633692031",144.9621736,-37.8113552,"8",1393.417,"1",0,0,0.007,0,false,0.001,false,0.83,3415.602,6180.204,4205.514,233.64,200.859,32.033,14.037,"18","401","203","198","15","175","11","0","9","0","8","0","0","3",false,0.0612222222222222,0.0460754212617144,0.0656666666666667,0.0273906918496047,0.302111111111111,0.0657788804337009,0.304333333333333,0.100812945597279,1.85073770566951,0.14589950427982,true,0.00024960317165755,144.96220077,-37.81160332,144.9621736,-37.8113552
"48",QVM-Queen St (East),QVMQ_T,2017/10/02,,Outdoor,A,East,West,-37.80631581,144.95866697,"-37.80631581, 144.95866697","45682","775933327",144.9585153,-37.8061015,"20",2579.319,"3",0.333,0.004,0.011,0,false,0.004,false,0.413,779.412,787.341,3595.678,123.989,93.579,23.251,10.924,"29","233","119","114","6","111","2","0","2","0","7","0","0","4",false,0.138446428571429,0.132880249526729,0.215071428571429,0.140446800946493,0.217482142857143,0.116563208146938,0.160285714285714,0.0737528339759261,1.91280727780803,0.26031063796498,true,0.000262550119032934,144.95866697,-37.80631581,144.9585153,-37.8061015
"49",QVM-Therry St (South),Eli501_T,2017/11/29,,Outdoor,A,East,West,-37.80730068,144.95956055,"-37.80730068, 144.95956055","2495","3327893028",144.9594694,-37.8072356,"10",1414.952,"3",0.333,0.005,0.015,0.008,false,0.005,false,0.451,702.552,588.518,3159.632,108.953,54.408,21.504,6.333,"29","283","140","142","10","164","3","0","5","0","22","0","0","7",false,0.137,0.133081929652376,0.190833333333333,0.134853129984686,0.151666666666667,0.0476179237962625,0.187333333333333,0.0758674282328502,2.03836304226021,0.132463839043711,true,0.000111998789727305,144.95956055,-37.80730068,144.9594694,-37.8072356
"52",Elizabeth St-Lonsdale St (South),Eli263_T,2017/07/31,,Outdoor,A,East,West,-37.81252157,144.9619401,"-37.81252157, 144.9619401","65549","4544037561",144.9620705,-37.8123833,"3",387.478,"3",0,0,0.009,0,false,0.002,false,0.466,805.983,1809.722,4607.371,107.148,87.103,21.437,8.548,"43","249","131","118","9","59","14","1","9","0","15","0","0","1",false,0.193083333333333,0.187124877279772,0.11475,0.086686609010955,0.29325,0.114467244222965,0.182083333333333,0.140870319690476,1.75275619855985,0.165530596485861,true,0.000190059866633601,144.9619401,-37.81252157,144.9620705,-37.8123833
"53",Collins Street (North),Col254_T,2015/09/23,,Outdoor,A,East,West,-37.81564191,144.965499,"-37.81564191, 144.965499","57090","2193369802",144.9657789,-37.8157621,"18",1652.499,"3",0,0,0.01,0,false,0.003,false,0.64,1032.002,1284.282,4573.304,130.666,65.141,24.126,5.516,"35","280","148","131","16","58","1","1","31","4","19","1","0","1",false,0.237333333333333,0.0724258241237198,0.0482222222222222,0.0571090574641575,0.282333333333333,0.0775596544602927,0.158666666666667,0.139169860242798,1.84670493458366,0.104725720965056,true,0.00030461392959995,144.965499,-37.81564191,144.9657789,-37.8157621
"54",Lincoln-Swanston (West),Swa607_T,2018/06/26,,Outdoor,A,North,South,-37.804024,144.96308399,"-37.804024, 144.96308399","28801","1492383934",144.9633072,-37.8038968,"18",2286.546,"3",0,0,0.012,0,false,0.004,false,0.501,657.524,585.203,3596.061,102.745,45.928,20.864,4.68,"35","474","226","248","6","306","1","1","1","0","6","0","0","6",false,0.168583333333333,0.111295232547844,0.189916666666667,0.0845011654931278,0.348416666666667,0.116304817639084,0.100166666666667,0.0782964452151778,1.72255334609566,0.117039705184523,true,0.000256909602975488,144.96308399,-37.804024,144.9633072,-37.8038968
"58",Bourke St - Spencer St (North),Bou688_T,2018/09/27,,Outdoor,A,East,West,-37.81686075,144.95358075,"-37.81686075, 144.95358075","56820","2174963245",144.9533067,-37.8170198,"8",1350.466,"4",0,0,0.01,0,false,0.003,false,0.769,6570.646,11401.688,4199.479,279.965,256.575,32.712,14.927,"15","233","122","110","1","85","4","0","10","0","17","0","0","1",false,0.0640967741935484,0.0671169898206158,0.123709677419355,0.0651251070624262,0.405741935483871,0.147531006400222,0.151903225806452,0.0699096344522507,1.75938185070887,0.355565601577454,true,0.000316860071617552,144.95358075,-37.81686075,144.9533067,-37.8170198
"59",Building 80 RMIT,RMIT_T,2019/02/13,,Outdoor,A,North,South,-37.80825648,144.96304859,"-37.80825648, 144.96304859","56966","2187770699",144.9632838,-37.8085307,"8",1349.093,"1",0,0,0.01,0,false,0.003,false,0.491,877.297,874.281,2803.556,121.894,64.673,22.792,6.445,"23","133","65","68","2","72","1","1","3","3","10","0","1","8",false,0.183981969486824,0.124898316267595,0.153417475728155,0.121625678803497,0.239201109570042,0.144292701411209,0.178064724919094,0.122097140885638,1.78789675148199,0.213449764606488,true,0.000361276005985171,144.96304859,-37.80825648,144.9632838,-37.8085307
