Dataset,Model,Cloud cover,Predicted Value
Evenings,LightGBM,0.9191919191919192,538.6746004540643
Evenings,LightGBM,0.9292929292929294,550.9983165076192
Evenings,LightGBM,0.9393939393939394,549.9639165692113
Evenings,LightGBM,0.9494949494949496,547.7788581954239
Evenings,LightGBM,0.9595959595959597,547.6639418481732
Evenings,LightGBM,0.9696969696969697,518.0659972808431
Evenings,LightGBM,0.9797979797979799,527.749195266719
Evenings,LightGBM,0.98989898989899,542.1287644702172
Evenings,LightGBM,1.0,512.7902423177419
Evenings,XGBoost,0.0,562.6646118164062
Evenings,XGBoost,0.010101010101010102,557.9970703125
Evenings,XGBoost,0.020202020202020204,567.5579833984375
Evenings,XGBoost,0.030303030303030304,554.4925537109375
Evenings,XGBoost,0.04040404040404041,553.325439453125
Evenings,XGBoost,0.05050505050505051,552.3538818359375
Evenings,XGBoost,0.06060606060606061,574.46044921875
Evenings,XGBoost,0.07070707070707072,574.6096801757812
Evenings,XGBoost,0.08080808080808081,574.8197631835938
Evenings,XGBoost,0.09090909090909091,601.3073120117188
Evenings,XGBoost,0.10101010101010102,554.4601440429688
Evenings,XGBoost,0.11111111111111112,562.2169189453125
Evenings,XGBoost,0.12121212121212122,556.1497802734375
Evenings,XGBoost,0.13131313131313133,552.1823120117188
Evenings,XGBoost,0.14141414141414144,552.1412963867188
Evenings,XGBoost,0.15151515151515152,547.3399047851562
Evenings,XGBoost,0.16161616161616163,553.8688354492188
Evenings,XGBoost,0.17171717171717174,544.0401611328125
Evenings,XGBoost,0.18181818181818182,544.0401611328125
Evenings,XGBoost,0.19191919191919193,533.040283203125
Evenings,XGBoost,0.20202020202020204,528.624755859375
Evenings,XGBoost,0.21212121212121213,544.0650024414062
Evenings,XGBoost,0.22222222222222224,544.8138427734375
Evenings,XGBoost,0.23232323232323235,541.3997802734375
Evenings,XGBoost,0.24242424242424243,533.4699096679688
Evenings,XGBoost,0.25252525252525254,534.847900390625
Evenings,XGBoost,0.26262626262626265,530.4414672851562
Evenings,XGBoost,0.27272727272727276,531.3665161132812
Evenings,XGBoost,0.2828282828282829,532.8814697265625
Evenings,XGBoost,0.29292929292929293,549.9757080078125
Evenings,XGBoost,0.30303030303030304,534.2471923828125
Evenings,XGBoost,0.31313131313131315,534.3221435546875
Evenings,XGBoost,0.32323232323232326,540.3888549804688
Evenings,XGBoost,0.33333333333333337,543.6861572265625
Evenings,XGBoost,0.3434343434343435,543.7417602539062
Evenings,XGBoost,0.3535353535353536,563.7379760742188
Evenings,XGBoost,0.36363636363636365,545.2968139648438
Evenings,XGBoost,0.37373737373737376,547.3512573242188
Evenings,XGBoost,0.38383838383838387,549.8712158203125
Evenings,XGBoost,0.393939393939394,547.9208374023438
Evenings,XGBoost,0.4040404040404041,544.382568359375
Evenings,XGBoost,0.4141414141414142,543.9898681640625
Evenings,XGBoost,0.42424242424242425,533.8851928710938
Evenings,XGBoost,0.43434343434343436,527.0240478515625
Evenings,XGBoost,0.4444444444444445,543.125
Evenings,XGBoost,0.4545454545454546,542.6436767578125
Evenings,XGBoost,0.4646464646464647,539.0692138671875
Evenings,XGBoost,0.4747474747474748,536.58984375
Evenings,XGBoost,0.48484848484848486,539.4378051757812
Evenings,XGBoost,0.494949494949495,570.9893188476562
Evenings,XGBoost,0.5050505050505051,552.9877319335938
Evenings,XGBoost,0.5151515151515152,562.9065551757812
Evenings,XGBoost,0.5252525252525253,554.4204711914062
Evenings,XGBoost,0.5353535353535354,559.9054565429688
Evenings,XGBoost,0.5454545454545455,558.1904296875
Evenings,XGBoost,0.5555555555555556,558.3878784179688
Evenings,XGBoost,0.5656565656565657,541.0509033203125
Evenings,XGBoost,0.5757575757575758,543.7335205078125
Evenings,XGBoost,0.5858585858585859,542.07177734375
Evenings,XGBoost,0.595959595959596,540.9104614257812
Evenings,XGBoost,0.6060606060606061,544.8463134765625
Evenings,XGBoost,0.6161616161616162,543.9462890625
Evenings,XGBoost,0.6262626262626263,541.1010131835938
Evenings,XGBoost,0.6363636363636365,563.3694458007812
Evenings,XGBoost,0.6464646464646465,541.7509155273438
Evenings,XGBoost,0.6565656565656566,541.8681640625
Evenings,XGBoost,0.6666666666666667,544.6438598632812
Evenings,XGBoost,0.6767676767676768,541.51416015625
Evenings,XGBoost,0.686868686868687,524.847900390625
Evenings,XGBoost,0.696969696969697,524.8291625976562
Evenings,XGBoost,0.7070707070707072,531.992919921875
Evenings,XGBoost,0.7171717171717172,533.7832641601562
Evenings,XGBoost,0.7272727272727273,529.9385986328125
Evenings,XGBoost,0.7373737373737375,529.7739868164062
Evenings,XGBoost,0.7474747474747475,530.7363891601562
Evenings,XGBoost,0.7575757575757577,556.1948852539062
Evenings,XGBoost,0.7676767676767677,556.0279541015625
Evenings,XGBoost,0.7777777777777778,538.849853515625
Evenings,XGBoost,0.787878787878788,537.6399536132812
Evenings,XGBoost,0.797979797979798,530.3281860351562
Evenings,XGBoost,0.8080808080808082,529.8157958984375
Evenings,XGBoost,0.8181818181818182,523.0470581054688
Evenings,XGBoost,0.8282828282828284,521.144775390625
Evenings,XGBoost,0.8383838383838385,524.1956176757812
Evenings,XGBoost,0.8484848484848485,546.740234375
Evenings,XGBoost,0.8585858585858587,534.6641235351562
Evenings,XGBoost,0.8686868686868687,534.4021606445312
Evenings,XGBoost,0.8787878787878789,535.0340576171875
Evenings,XGBoost,0.888888888888889,536.8726806640625
Evenings,XGBoost,0.8989898989898991,536.8013916015625
Evenings,XGBoost,0.9090909090909092,538.71240234375
Evenings,XGBoost,0.9191919191919192,540.9619140625
Evenings,XGBoost,0.9292929292929294,541.2626342773438
Evenings,XGBoost,0.9393939393939394,549.4082641601562
Evenings,XGBoost,0.9494949494949496,557.0347900390625
Evenings,XGBoost,0.9595959595959597,556.9561157226562
Evenings,XGBoost,0.9696969696969697,526.144775390625
Evenings,XGBoost,0.9797979797979799,521.6174926757812
Evenings,XGBoost,0.98989898989899,559.5142211914062
