Dataset,Model,5 Walkable path length,Predicted Value
All,XGBoost,11031.897373737373,595.4262084960938
All,XGBoost,11169.16505050505,601.8233032226562
All,XGBoost,11306.432727272726,601.9153442382812
All,XGBoost,11443.700404040403,601.12548828125
All,XGBoost,11580.96808080808,592.6516723632812
All,XGBoost,11718.235757575758,593.0072631835938
All,XGBoost,11855.503434343434,593.0595092773438
All,XGBoost,11992.771111111111,597.574951171875
All,XGBoost,12130.038787878788,597.14697265625
All,XGBoost,12267.306464646465,597.14697265625
All,XGBoost,12404.574141414141,597.5407104492188
All,XGBoost,12541.841818181818,582.7476196289062
All,XGBoost,12679.109494949495,582.7476196289062
All,XGBoost,12816.377171717171,584.705078125
All,XGBoost,12953.644848484848,584.705078125
All,XGBoost,13090.912525252525,584.705078125
All,XGBoost,13228.180202020201,584.705078125
All,XGBoost,13365.447878787878,584.5023193359375
All,XGBoost,13502.715555555555,584.5023193359375
All,XGBoost,13639.983232323231,584.5023193359375
All,XGBoost,13777.250909090908,584.5023193359375
All,XGBoost,13914.518585858585,584.5023193359375
All,XGBoost,14051.786262626261,584.5023193359375
All,XGBoost,14189.053939393938,584.5023193359375
All,XGBoost,14326.321616161615,584.5023193359375
All,XGBoost,14463.589292929291,584.5023193359375
All,XGBoost,14600.856969696968,584.5023193359375
All,XGBoost,14738.124646464647,584.5023193359375
All,XGBoost,14875.392323232323,584.5023193359375
All,XGBoost,15012.66,584.7455444335938
Mornings,CatBoost,1423.16,734.9659136209491
Mornings,CatBoost,1560.4276767676768,734.9659136209491
Mornings,CatBoost,1697.6953535353537,734.9659136209491
Mornings,CatBoost,1834.9630303030303,734.9659136209491
Mornings,CatBoost,1972.230707070707,734.9659136209491
Mornings,CatBoost,2109.498383838384,734.9659136209491
Mornings,CatBoost,2246.766060606061,734.9659136209491
Mornings,CatBoost,2384.0337373737375,734.9659136209491
Mornings,CatBoost,2521.301414141414,734.9659136209491
Mornings,CatBoost,2658.569090909091,734.9659136209491
Mornings,CatBoost,2795.8367676767675,734.9659136209491
Mornings,CatBoost,2933.104444444444,734.9659136209491
Mornings,CatBoost,3070.372121212121,734.9659136209491
Mornings,CatBoost,3207.639797979798,734.9659136209491
Mornings,CatBoost,3344.9074747474747,734.9659136209491
Mornings,CatBoost,3482.175151515152,734.9659136209491
Mornings,CatBoost,3619.4428282828285,734.9659136209491
Mornings,CatBoost,3756.710505050505,734.9659136209491
Mornings,CatBoost,3893.978181818182,734.9659136209491
Mornings,CatBoost,4031.2458585858585,734.9659136209491
Mornings,CatBoost,4168.513535353535,734.9659136209491
Mornings,CatBoost,4305.781212121212,734.9659136209491
Mornings,CatBoost,4443.0488888888885,734.9659136209491
Mornings,CatBoost,4580.316565656565,734.9659136209491
Mornings,CatBoost,4717.584242424242,734.9659136209491
Mornings,CatBoost,4854.8519191919195,734.9659136209491
Mornings,CatBoost,4992.119595959596,734.9659136209491
Mornings,CatBoost,5129.387272727273,734.9659136209491
Mornings,CatBoost,5266.6549494949495,734.5999526933449
Mornings,CatBoost,5403.922626262626,734.5999526933449
Mornings,CatBoost,5541.190303030303,734.5999526933449
Mornings,CatBoost,5678.4579797979795,734.5999526933449
Mornings,CatBoost,5815.725656565656,734.5999526933449
Mornings,CatBoost,5952.993333333333,734.5999526933449
Mornings,CatBoost,6090.26101010101,734.5999526933449
Mornings,CatBoost,6227.528686868686,734.5999526933449
Mornings,CatBoost,6364.796363636363,734.5999526933449
Mornings,CatBoost,6502.06404040404,734.5999526933449
Mornings,CatBoost,6639.331717171717,734.5999526933449
Mornings,CatBoost,6776.599393939394,734.4240708458037
Mornings,CatBoost,6913.8670707070705,734.4240708458037
Mornings,CatBoost,7051.134747474747,734.4240708458037
Mornings,CatBoost,7188.402424242424,734.1778623845222
Mornings,CatBoost,7325.670101010101,734.1778623845222
Mornings,CatBoost,7462.937777777777,734.1778623845222
Mornings,CatBoost,7600.205454545454,734.1778623845222
Mornings,CatBoost,7737.473131313131,734.2074228485351
Mornings,CatBoost,7874.740808080807,734.2074228485351
Mornings,CatBoost,8012.008484848484,734.2074228485351
Mornings,CatBoost,8149.2761616161615,734.2074228485351
Mornings,CatBoost,8286.54383838384,734.2074228485351
