Dataset,Model,Elderly,Predicted Value
All,LightGBM,53.333333333333336,599.4297699756851
All,LightGBM,53.93939393939394,599.4297699756851
All,LightGBM,54.54545454545455,1298.308382348651
All,LightGBM,55.151515151515156,1298.308382348651
All,LightGBM,55.75757575757576,1298.308382348651
All,LightGBM,56.36363636363637,1298.308382348651
All,LightGBM,56.96969696969697,1298.308382348651
All,LightGBM,57.57575757575758,1298.308382348651
All,LightGBM,58.18181818181819,1298.308382348651
All,LightGBM,58.78787878787879,1298.308382348651
All,LightGBM,59.3939393939394,1298.308382348651
All,LightGBM,60.0,1298.308382348651
All,XGBoost,0.0,566.8408813476562
All,XGBoost,0.6060606060606061,566.8408813476562
All,XGBoost,1.2121212121212122,566.4842529296875
All,XGBoost,1.8181818181818183,566.4842529296875
All,XGBoost,2.4242424242424243,566.4842529296875
All,XGBoost,3.0303030303030303,567.1840209960938
All,XGBoost,3.6363636363636367,567.1840209960938
All,XGBoost,4.242424242424242,567.1841430664062
All,XGBoost,4.848484848484849,567.1841430664062
All,XGBoost,5.454545454545455,569.3864135742188
All,XGBoost,6.0606060606060606,569.2675170898438
All,XGBoost,6.666666666666667,569.2675170898438
All,XGBoost,7.272727272727273,569.7460327148438
All,XGBoost,7.878787878787879,569.7460327148438
All,XGBoost,8.484848484848484,574.3009643554688
All,XGBoost,9.090909090909092,574.1785278320312
All,XGBoost,9.696969696969697,574.1785278320312
All,XGBoost,10.303030303030303,578.9177856445312
All,XGBoost,10.90909090909091,578.9177856445312
All,XGBoost,11.515151515151516,578.9177856445312
All,XGBoost,12.121212121212121,578.9177856445312
All,XGBoost,12.727272727272728,578.9177856445312
All,XGBoost,13.333333333333334,581.519287109375
All,XGBoost,13.93939393939394,581.519287109375
All,XGBoost,14.545454545454547,596.2830810546875
All,XGBoost,15.151515151515152,596.2828369140625
All,XGBoost,15.757575757575758,596.2828369140625
All,XGBoost,16.363636363636363,594.9229736328125
All,XGBoost,16.96969696969697,594.9229736328125
All,XGBoost,17.575757575757578,594.9229736328125
All,XGBoost,18.181818181818183,594.9229736328125
All,XGBoost,18.78787878787879,594.9229736328125
All,XGBoost,19.393939393939394,594.9229736328125
All,XGBoost,20.0,594.8666381835938
All,XGBoost,20.606060606060606,594.8666381835938
All,XGBoost,21.21212121212121,594.8666381835938
All,XGBoost,21.81818181818182,594.8666381835938
All,XGBoost,22.424242424242426,594.8666381835938
All,XGBoost,23.03030303030303,594.8666381835938
All,XGBoost,23.636363636363637,594.8666381835938
All,XGBoost,24.242424242424242,595.4697265625
All,XGBoost,24.848484848484848,595.4697265625
All,XGBoost,25.454545454545457,595.4697265625
All,XGBoost,26.060606060606062,595.4697265625
All,XGBoost,26.666666666666668,595.4697265625
All,XGBoost,27.272727272727273,595.4697265625
All,XGBoost,27.87878787878788,595.4697265625
All,XGBoost,28.484848484848484,595.4697265625
All,XGBoost,29.090909090909093,595.4697265625
All,XGBoost,29.6969696969697,595.4697265625
All,XGBoost,30.303030303030305,595.4697265625
All,XGBoost,30.90909090909091,595.4697265625
All,XGBoost,31.515151515151516,595.4697265625
All,XGBoost,32.121212121212125,595.4697265625
All,XGBoost,32.72727272727273,595.4697265625
All,XGBoost,33.333333333333336,595.4697265625
All,XGBoost,33.93939393939394,595.4697265625
All,XGBoost,34.54545454545455,595.4697265625
All,XGBoost,35.151515151515156,595.4697265625
All,XGBoost,35.75757575757576,595.4697265625
All,XGBoost,36.36363636363637,595.4697265625
All,XGBoost,36.96969696969697,595.4697265625
All,XGBoost,37.57575757575758,595.4697265625
All,XGBoost,38.18181818181818,595.4697265625
All,XGBoost,38.78787878787879,595.4697265625
All,XGBoost,39.3939393939394,596.2020263671875
All,XGBoost,40.0,596.2020263671875
All,XGBoost,40.60606060606061,596.2020263671875
All,XGBoost,41.21212121212121,596.2020263671875
All,XGBoost,41.81818181818182,596.2020263671875
All,XGBoost,42.42424242424242,596.2020263671875
All,XGBoost,43.03030303030303,596.2020263671875
All,XGBoost,43.63636363636364,596.2020263671875
All,XGBoost,44.24242424242424,596.2020263671875
All,XGBoost,44.84848484848485,596.2020263671875
All,XGBoost,45.45454545454545,596.2020263671875
All,XGBoost,46.06060606060606,596.2020263671875
All,XGBoost,46.66666666666667,596.2020263671875
All,XGBoost,47.27272727272727,596.2020263671875
All,XGBoost,47.87878787878788,596.2020263671875
All,XGBoost,48.484848484848484,596.2020263671875
All,XGBoost,49.09090909090909,595.9261474609375
All,XGBoost,49.696969696969695,595.9261474609375
All,XGBoost,50.303030303030305,595.9261474609375
All,XGBoost,50.909090909090914,595.9261474609375
All,XGBoost,51.515151515151516,595.9261474609375
All,XGBoost,52.121212121212125,595.9261474609375
All,XGBoost,52.72727272727273,595.9261474609375
All,XGBoost,53.333333333333336,595.9261474609375
All,XGBoost,53.93939393939394,595.9261474609375
All,XGBoost,54.54545454545455,595.9261474609375
All,XGBoost,55.151515151515156,595.9261474609375
All,XGBoost,55.75757575757576,595.9261474609375
All,XGBoost,56.36363636363637,595.9261474609375
All,XGBoost,56.96969696969697,595.9261474609375
All,XGBoost,57.57575757575758,595.9261474609375
All,XGBoost,58.18181818181819,595.9261474609375
All,XGBoost,58.78787878787879,595.9261474609375
All,XGBoost,59.3939393939394,595.9261474609375
All,XGBoost,60.0,1319.13427734375
Lunches,LightGBM,0.0,1080.8816991167766
Lunches,LightGBM,0.6060606060606061,1080.8816991167766
Lunches,LightGBM,1.2121212121212122,1080.8816991167766
Lunches,LightGBM,1.8181818181818183,1080.8816991167766
Lunches,LightGBM,2.4242424242424243,1080.8816991167766
Lunches,LightGBM,3.0303030303030303,1081.7675390145778
Lunches,LightGBM,3.6363636363636367,1081.7675390145778
Lunches,LightGBM,4.242424242424242,1081.7675390145778
Lunches,LightGBM,4.848484848484849,1082.1680939514047
Lunches,LightGBM,5.454545454545455,1082.1680939514047
Lunches,LightGBM,6.0606060606060606,1082.1875794671103
Lunches,LightGBM,6.666666666666667,1082.1568563868664
Lunches,LightGBM,7.272727272727273,1082.1568563868664
Lunches,LightGBM,7.878787878787879,1082.0686162897168
Lunches,LightGBM,8.484848484848484,1082.0686162897168
Lunches,LightGBM,9.090909090909092,1082.1925099894127
Lunches,LightGBM,9.696969696969697,1082.5311814303657
Lunches,LightGBM,10.303030303030303,1082.5311814303657
Lunches,LightGBM,10.90909090909091,1082.5311814303657
Lunches,LightGBM,11.515151515151516,1082.4267647443976
Lunches,LightGBM,12.121212121212121,1082.4267647443976
Lunches,LightGBM,12.727272727272728,1082.4267647443976
Lunches,LightGBM,13.333333333333334,1082.4267647443976
Lunches,LightGBM,13.93939393939394,1082.7308757030446
Lunches,LightGBM,14.545454545454547,1087.6635792596353
Lunches,LightGBM,15.151515151515152,1087.6635792596353
Lunches,LightGBM,15.757575757575758,1087.584874270911
Lunches,LightGBM,16.363636363636363,1087.584874270911
Lunches,LightGBM,16.96969696969697,1087.584874270911
Lunches,LightGBM,17.575757575757578,1087.584874270911
Lunches,LightGBM,18.181818181818183,1087.593668595679
Lunches,LightGBM,18.78787878787879,1087.593668595679
Lunches,LightGBM,19.393939393939394,1087.593668595679
Lunches,LightGBM,20.0,1087.593668595679
Lunches,LightGBM,20.606060606060606,1088.4340370375478
