Dataset,Model,15 Tree density,Predicted Value
Lunches,CatBoost,0.1003493745291946,1100.3593134601313
Lunches,CatBoost,0.10183152171326948,1100.3839163445452
Lunches,CatBoost,0.10331366889734436,1100.3839163445452
Lunches,CatBoost,0.10479581608141925,1106.2377827960484
Lunches,CatBoost,0.10627796326549412,1106.2377827960484
Lunches,CatBoost,0.107760110449569,1107.1440758247793
Lunches,CatBoost,0.10924225763364388,1107.1440758247793
Lunches,CatBoost,0.11072440481771875,1125.0756152751019
Lunches,CatBoost,0.11220655200179364,1126.5141509231898
Lunches,CatBoost,0.11368869918586852,1130.7741408616123
Lunches,CatBoost,0.1151708463699434,1130.7741408616123
Lunches,CatBoost,0.11665299355401827,1130.7741408616123
Lunches,CatBoost,0.11813514073809316,1130.7741408616123
Lunches,CatBoost,0.11961728792216804,1132.7265918319438
Lunches,CatBoost,0.12109943510624292,1137.3056383911032
Lunches,CatBoost,0.12258158229031779,1137.3056383911032
Lunches,CatBoost,0.12406372947439268,1137.3335553605793
Lunches,CatBoost,0.12554587665846756,1137.3335553605793
Lunches,CatBoost,0.12702802384254244,1137.3335553605793
Lunches,CatBoost,0.12851017102661733,1137.570575701024
Lunches,CatBoost,0.1299923182106922,1137.570575701024
Lunches,CatBoost,0.1314744653947671,1137.570575701024
Lunches,CatBoost,0.13295661257884195,1137.570575701024
Lunches,CatBoost,0.13443875976291683,1137.570575701024
Lunches,CatBoost,0.13592090694699172,1137.570575701024
Lunches,CatBoost,0.1374030541310666,1135.6069852493226
Lunches,CatBoost,0.13888520131514148,1135.6069852493226
Lunches,CatBoost,0.14036734849921637,1135.6069852493226
Lunches,CatBoost,0.14184949568329122,1135.6069852493226
Lunches,CatBoost,0.1433316428673661,1135.6069852493226
Lunches,CatBoost,0.144813790051441,1133.0500277394685
Lunches,CatBoost,0.14629593723551587,1133.0500277394685
Lunches,CatBoost,0.14777808441959076,1133.0500277394685
Lunches,CatBoost,0.14926023160366564,1133.0500277394685
Lunches,CatBoost,0.15074237878774052,1133.0500277394685
Lunches,CatBoost,0.1522245259718154,1133.0500277394685
Lunches,CatBoost,0.15370667315589026,1133.0500277394685
Lunches,CatBoost,0.15518882033996514,1133.0500277394685
