Dataset,Model,5 Bench density,Predicted Value
Afternoons,XGBoost,9.970734268843695e-05,1219.2750244140625
Afternoons,XGBoost,0.00011070640527425082,1219.2750244140625
Afternoons,XGBoost,0.00012170546786006471,1219.2750244140625
Afternoons,XGBoost,0.00013270453044587858,1219.2750244140625
Afternoons,XGBoost,0.00014370359303169245,1224.2706298828125
Afternoons,XGBoost,0.00015470265561750633,1222.6290283203125
Afternoons,XGBoost,0.00016570171820332023,1222.6290283203125
Afternoons,XGBoost,0.0001767007807891341,1222.6290283203125
Afternoons,XGBoost,0.00018769984337494797,1222.6290283203125
Afternoons,XGBoost,0.00019869890596076184,1223.927734375
Afternoons,XGBoost,0.0002096979685465757,1223.81103515625
Afternoons,XGBoost,0.0002206970311323896,1223.81103515625
Afternoons,XGBoost,0.00023169609371820348,1223.81103515625
Afternoons,XGBoost,0.00024269515630401736,1223.8271484375
Afternoons,XGBoost,0.0002536942188898313,1223.8271484375
Afternoons,XGBoost,0.00026469328147564513,1223.87353515625
Afternoons,XGBoost,0.000275692344061459,1223.87353515625
Afternoons,XGBoost,0.0002866914066472729,1223.87353515625
Afternoons,XGBoost,0.00029769046923308677,1223.7730712890625
Afternoons,XGBoost,0.00030868953181890067,1223.7122802734375
Afternoons,XGBoost,0.00031968859440471457,1223.7015380859375
Afternoons,XGBoost,0.0003306876569905284,1223.7550048828125
Afternoons,XGBoost,0.0003416867195763423,1228.95166015625
Afternoons,XGBoost,0.00035268578216215616,1228.95166015625
Afternoons,XGBoost,0.00036368484474797006,1228.95166015625
Afternoons,XGBoost,0.00037468390733378396,1228.95166015625
Afternoons,XGBoost,0.0003856829699195978,1228.95166015625
Afternoons,XGBoost,0.0003966820325054117,1228.95166015625
Afternoons,XGBoost,0.00040768109509122555,1230.7545166015625
Afternoons,XGBoost,0.00041868015767703944,1231.056396484375
Afternoons,XGBoost,0.00042967922026285334,1231.056396484375
Afternoons,XGBoost,0.0004406782828486672,1231.056396484375
Afternoons,XGBoost,0.0004516773454344811,1230.189208984375
Afternoons,XGBoost,0.000462676408020295,1230.189208984375
Afternoons,XGBoost,0.00047367547060610883,1230.189208984375
Afternoons,XGBoost,0.00048467453319192273,1230.189208984375
Afternoons,XGBoost,0.0004956735957777366,1230.189208984375
Afternoons,XGBoost,0.0005066726583635504,1230.189208984375
Afternoons,XGBoost,0.0005176717209493643,1230.189208984375
Afternoons,XGBoost,0.0005286707835351782,1230.189208984375
Afternoons,XGBoost,0.0005396698461209921,1230.189208984375
Afternoons,XGBoost,0.0005506689087068059,1230.189208984375
Afternoons,XGBoost,0.0005616679712926199,1230.189208984375
Afternoons,XGBoost,0.0005726670338784337,1232.24951171875
Afternoons,XGBoost,0.0005836660964642476,1232.24951171875
Afternoons,XGBoost,0.0005946651590500615,1232.3731689453125
Afternoons,XGBoost,0.0006056642216358753,1232.2418212890625
Afternoons,XGBoost,0.0006166632842216892,1232.2418212890625
Afternoons,XGBoost,0.0006276623468075031,1232.2418212890625
Afternoons,XGBoost,0.000638661409393317,1232.2418212890625
Afternoons,XGBoost,0.0006496604719791308,1232.2418212890625
Afternoons,XGBoost,0.0006606595345649447,1232.2418212890625
Afternoons,XGBoost,0.0006716585971507586,1232.2418212890625
Afternoons,XGBoost,0.0006826576597365725,1232.266357421875
Afternoons,XGBoost,0.0006936567223223863,1232.3302001953125
Afternoons,XGBoost,0.0007046557849082003,1232.3302001953125
Afternoons,XGBoost,0.0007156548474940141,1232.3302001953125
Afternoons,XGBoost,0.000726653910079828,1232.3302001953125
Afternoons,XGBoost,0.0007376529726656419,1232.3302001953125
Afternoons,XGBoost,0.0007486520352514558,1232.3302001953125
Afternoons,XGBoost,0.0007596510978372696,1232.3302001953125
Afternoons,XGBoost,0.0007706501604230836,1232.3302001953125
Afternoons,XGBoost,0.0007816492230088974,1232.3302001953125
Afternoons,XGBoost,0.0007926482855947113,1231.20654296875
Afternoons,XGBoost,0.0008036473481805251,1231.20654296875
Afternoons,XGBoost,0.000814646410766339,1231.20654296875
Afternoons,XGBoost,0.0008256454733521529,1231.20654296875
Afternoons,XGBoost,0.0008366445359379667,1231.20654296875
Afternoons,XGBoost,0.0008476435985237807,1232.0880126953125
Afternoons,XGBoost,0.0008586426611095945,1230.4503173828125
Afternoons,XGBoost,0.0008696417236954084,1230.4503173828125
Afternoons,XGBoost,0.0008806407862812223,1230.4503173828125
Afternoons,XGBoost,0.0008916398488670362,1232.9638671875
Afternoons,XGBoost,0.00090263891145285,1232.9638671875
Afternoons,XGBoost,0.000913637974038664,1232.1480712890625
Afternoons,XGBoost,0.0009246370366244778,1232.1480712890625
Afternoons,XGBoost,0.0009356360992102917,1232.1480712890625
Afternoons,XGBoost,0.0009466351617961056,1232.1480712890625
Afternoons,XGBoost,0.0009576342243819195,1232.1480712890625
Afternoons,XGBoost,0.0009686332869677333,1232.1480712890625
Afternoons,XGBoost,0.0009796323495535474,1232.1480712890625
Afternoons,XGBoost,0.0009906314121393611,1232.1480712890625
Afternoons,XGBoost,0.001001630474725175,1232.1480712890625
Afternoons,XGBoost,0.001012629537310989,1232.1480712890625
Afternoons,XGBoost,0.0010236285998968028,1232.1480712890625
Afternoons,XGBoost,0.0010346276624826167,1232.1480712890625
Afternoons,XGBoost,0.0010456267250684307,1232.1480712890625
Afternoons,XGBoost,0.0010566257876542444,1232.1480712890625
Afternoons,XGBoost,0.0010676248502400584,1232.1480712890625
Afternoons,XGBoost,0.0010786239128258723,1232.1480712890625
Afternoons,XGBoost,0.001089622975411686,1232.1480712890625
Afternoons,XGBoost,0.0011006220379975,1218.9591064453125
Mornings Special,LightGBM,1.171484200192592e-05,504.8453826645691
Mornings Special,LightGBM,2.27139045877398e-05,300.5607421004969
Mornings Special,LightGBM,3.371296717355368e-05,300.4528485769856
Mornings Special,LightGBM,4.471202975936756e-05,300.4528485769856
Mornings Special,LightGBM,5.571109234518144e-05,300.4528485769856
Mornings Special,LightGBM,6.671015493099531e-05,300.4528485769856
Mornings Special,LightGBM,7.77092175168092e-05,300.4528485769856
Mornings Special,LightGBM,8.870828010262308e-05,301.19450216497785
Mornings Special,LightGBM,9.970734268843695e-05,301.19450216497785
