Dataset,Model,5 Tram count,Predicted Value
Lunches,CatBoost,5.333333333333334,1035.9858019585713
Lunches,CatBoost,5.494949494949496,1035.9858019585713
Lunches,CatBoost,5.6565656565656575,1048.6582848195126
Lunches,CatBoost,5.818181818181818,1048.6582848195126
Lunches,CatBoost,5.97979797979798,1048.6582848195126
Lunches,CatBoost,6.141414141414142,1048.6582848195126
Lunches,CatBoost,6.303030303030304,1048.6582848195126
Lunches,CatBoost,6.464646464646465,1048.6582848195126
Lunches,CatBoost,6.626262626262627,1052.0406420467027
Lunches,CatBoost,6.787878787878788,1052.0406420467027
Lunches,CatBoost,6.94949494949495,1052.0406420467027
Lunches,CatBoost,7.111111111111112,1052.0406420467027
Lunches,CatBoost,7.272727272727273,1052.0406420467027
Lunches,CatBoost,7.434343434343435,1052.0406420467027
Lunches,CatBoost,7.595959595959597,1052.0406420467027
Lunches,CatBoost,7.757575757575758,1052.0406420467027
Lunches,CatBoost,7.91919191919192,1052.0406420467027
Lunches,CatBoost,8.080808080808081,1052.0406420467027
Lunches,CatBoost,8.242424242424244,1052.0406420467027
Lunches,CatBoost,8.404040404040405,1052.0406420467027
Lunches,CatBoost,8.565656565656566,1052.0406420467027
Lunches,CatBoost,8.727272727272728,1052.0406420467027
Lunches,CatBoost,8.88888888888889,1052.0406420467027
Lunches,CatBoost,9.050505050505052,1052.0406420467027
Lunches,CatBoost,9.212121212121213,1052.0406420467027
Lunches,CatBoost,9.373737373737374,1052.0406420467027
Lunches,CatBoost,9.535353535353536,1052.0406420467027
Lunches,CatBoost,9.696969696969697,1052.0406420467027
Lunches,CatBoost,9.85858585858586,1052.0406420467027
Lunches,CatBoost,10.02020202020202,1052.0406420467027
Lunches,CatBoost,10.181818181818183,1052.0406420467027
Lunches,CatBoost,10.343434343434344,1052.0406420467027
Lunches,CatBoost,10.505050505050505,1073.771769029233
Lunches,CatBoost,10.666666666666668,1073.771769029233
Lunches,CatBoost,10.828282828282829,1073.771769029233
Lunches,CatBoost,10.989898989898991,1073.771769029233
Lunches,CatBoost,11.151515151515152,1073.771769029233
Lunches,CatBoost,11.313131313131315,1073.771769029233
Lunches,CatBoost,11.474747474747476,1073.771769029233
Lunches,CatBoost,11.636363636363637,1166.552745257682
Lunches,CatBoost,11.7979797979798,1166.552745257682
Lunches,CatBoost,11.95959595959596,1166.552745257682
Lunches,CatBoost,12.121212121212123,1166.552745257682
Lunches,CatBoost,12.282828282828284,1166.552745257682
Lunches,CatBoost,12.444444444444445,1166.552745257682
Lunches,CatBoost,12.606060606060607,1166.552745257682
Lunches,CatBoost,12.767676767676768,1166.552745257682
Lunches,CatBoost,12.92929292929293,1166.552745257682
Lunches,CatBoost,13.090909090909092,1166.552745257682
Lunches,CatBoost,13.252525252525254,1166.552745257682
Lunches,CatBoost,13.414141414141415,1166.552745257682
Lunches,CatBoost,13.575757575757576,1166.552745257682
Lunches,CatBoost,13.737373737373739,1166.552745257682
Lunches,CatBoost,13.8989898989899,1166.552745257682
Lunches,CatBoost,14.060606060606062,1162.0066269104254
Lunches,CatBoost,14.222222222222223,1162.0066269104254
Lunches,CatBoost,14.383838383838386,1162.0066269104254
Lunches,CatBoost,14.545454545454547,1162.0066269104254
Lunches,CatBoost,14.707070707070708,1162.0066269104254
Lunches,CatBoost,14.86868686868687,1162.0066269104254
Lunches,CatBoost,15.030303030303031,1162.0066269104254
Lunches,CatBoost,15.191919191919194,1162.0066269104254
Lunches,CatBoost,15.353535353535355,1162.0066269104254
Lunches,CatBoost,15.515151515151516,1159.6630989879307
Lunches,CatBoost,15.676767676767678,1159.6630989879307
Lunches,CatBoost,15.83838383838384,1159.6630989879307
Lunches,CatBoost,16.0,1159.6630989879307
Afternoons,LightGBM,0.0,1223.7627894438833
Afternoons,LightGBM,0.16161616161616163,1225.5518579116676
Afternoons,LightGBM,0.32323232323232326,1225.5518579116676
Afternoons,LightGBM,0.48484848484848486,1225.5518579116676
Afternoons,LightGBM,0.6464646464646465,1225.5518579116676
Afternoons,LightGBM,0.8080808080808082,1225.5518579116676
Afternoons,LightGBM,0.9696969696969697,1225.5518579116676
Afternoons,LightGBM,1.1313131313131315,1225.5518579116676
Afternoons,LightGBM,1.292929292929293,1225.5518579116676
Afternoons,LightGBM,1.4545454545454546,1225.5518579116676
Afternoons,LightGBM,1.6161616161616164,1225.5518579116676
Afternoons,LightGBM,1.777777777777778,1225.5518579116676
Afternoons,LightGBM,1.9393939393939394,1225.5518579116676
Afternoons,LightGBM,2.101010101010101,1225.5518579116676
Afternoons,LightGBM,2.262626262626263,1225.5518579116676
Afternoons,LightGBM,2.4242424242424243,1225.5518579116676
Afternoons,LightGBM,2.585858585858586,1227.7978595926354
Afternoons,LightGBM,2.747474747474748,1227.7978595926354
Afternoons,LightGBM,2.909090909090909,1227.7978595926354
Afternoons,LightGBM,3.070707070707071,1227.7978595926354
Afternoons,LightGBM,3.2323232323232327,1227.7978595926354
Afternoons,LightGBM,3.393939393939394,1227.7978595926354
Afternoons,LightGBM,3.555555555555556,1226.0012145318967
Afternoons,LightGBM,3.7171717171717176,1226.0012145318967
Afternoons,LightGBM,3.878787878787879,1226.0012145318967
Afternoons,LightGBM,4.040404040404041,1226.0012145318967
Afternoons,LightGBM,4.202020202020202,1226.0012145318967
Afternoons,LightGBM,4.363636363636364,1226.0012145318967
Afternoons,LightGBM,4.525252525252526,1225.7756543754872
Afternoons,LightGBM,4.686868686868687,1225.7756543754872
Afternoons,LightGBM,4.848484848484849,1225.7756543754872
Afternoons,LightGBM,5.01010101010101,1225.7756543754872
Afternoons,LightGBM,5.171717171717172,1225.7756543754872
Afternoons,LightGBM,5.333333333333334,1225.7756543754872
Afternoons,LightGBM,5.494949494949496,1225.7756543754872
Afternoons,LightGBM,5.6565656565656575,1226.0234083186335
Afternoons,LightGBM,5.818181818181818,1226.0234083186335
Afternoons,LightGBM,5.97979797979798,1226.0234083186335
Afternoons,LightGBM,6.141414141414142,1226.0234083186335
Afternoons,LightGBM,6.303030303030304,1226.0234083186335
Afternoons,LightGBM,6.464646464646465,1226.0234083186335
Afternoons,LightGBM,6.626262626262627,1229.0411786002815
Afternoons,LightGBM,6.787878787878788,1229.0411786002815
Afternoons,LightGBM,6.94949494949495,1229.0411786002815
Afternoons,LightGBM,7.111111111111112,1229.0411786002815
Afternoons,LightGBM,7.272727272727273,1229.0411786002815
Afternoons,LightGBM,7.434343434343435,1229.0411786002815
Afternoons,LightGBM,7.595959595959597,1229.032516972561
Afternoons,LightGBM,7.757575757575758,1229.032516972561
Afternoons,LightGBM,7.91919191919192,1229.032516972561
Afternoons,LightGBM,8.080808080808081,1229.032516972561
Afternoons,LightGBM,8.242424242424244,1229.032516972561
Afternoons,LightGBM,8.404040404040405,1229.032516972561
Afternoons,LightGBM,8.565656565656566,1228.780005045967
Afternoons,LightGBM,8.727272727272728,1228.780005045967
Afternoons,LightGBM,8.88888888888889,1228.780005045967
Afternoons,LightGBM,9.050505050505052,1228.780005045967
Afternoons,LightGBM,9.212121212121213,1228.780005045967
Afternoons,LightGBM,9.373737373737374,1228.780005045967
Afternoons,LightGBM,9.535353535353536,1228.769824462842
Afternoons,LightGBM,9.696969696969697,1228.769824462842
Afternoons,LightGBM,9.85858585858586,1228.769824462842
Afternoons,LightGBM,10.02020202020202,1228.769824462842
Afternoons,LightGBM,10.181818181818183,1228.769824462842
Afternoons,LightGBM,10.343434343434344,1228.769824462842
Afternoons,LightGBM,10.505050505050505,1228.7939602724823
Afternoons,LightGBM,10.666666666666668,1228.7939602724823
Afternoons,LightGBM,10.828282828282829,1228.7939602724823
Afternoons,LightGBM,10.989898989898991,1228.7939602724823
Afternoons,LightGBM,11.151515151515152,1228.7939602724823
Afternoons,LightGBM,11.313131313131315,1228.7939602724823
Afternoons,LightGBM,11.474747474747476,1228.7939602724823
Afternoons,LightGBM,11.636363636363637,1209.2403900572326
Afternoons,LightGBM,11.7979797979798,1209.2403900572326
Afternoons,LightGBM,11.95959595959596,1209.2403900572326
Afternoons,LightGBM,12.121212121212123,1209.2403900572326
Afternoons,LightGBM,12.282828282828284,1209.2403900572326
Afternoons,LightGBM,12.444444444444445,1209.2403900572326
Afternoons,LightGBM,12.606060606060607,1209.2851089020164
Afternoons,LightGBM,12.767676767676768,1209.2851089020164
Afternoons,LightGBM,12.92929292929293,1209.2851089020164
Afternoons,LightGBM,13.090909090909092,1209.2851089020164
Afternoons,LightGBM,13.252525252525254,1209.2851089020164
Afternoons,LightGBM,13.414141414141415,1209.2851089020164
Afternoons,LightGBM,13.575757575757576,1209.2851089020164
Afternoons,LightGBM,13.737373737373739,1209.2851089020164
Afternoons,LightGBM,13.8989898989899,1209.2851089020164
Afternoons,LightGBM,14.060606060606062,1209.1752240711733
