Dataset,Model,5 Green area,Predicted Value
Mornings,LightGBM,52427.0509090909,737.35741733771
Mornings,LightGBM,53397.922222222216,737.35741733771
Mornings,LightGBM,54368.79353535353,737.4375087645021
Mornings,LightGBM,55339.66484848484,737.4375087645021
Mornings,LightGBM,56310.53616161616,737.4375087645021
Mornings,LightGBM,57281.40747474747,737.4375087645021
Mornings,LightGBM,58252.278787878786,737.4375087645021
Mornings,LightGBM,59223.1501010101,737.4375087645021
Mornings,LightGBM,60194.02141414141,737.4375087645021
Mornings,LightGBM,61164.89272727272,737.4375087645021
Mornings,LightGBM,62135.764040404036,737.4375087645021
Mornings,LightGBM,63106.63535353535,737.4375087645021
Mornings,LightGBM,64077.50666666666,737.4375087645021
Mornings,LightGBM,65048.37797979797,737.9693023854285
Mornings,LightGBM,66019.2492929293,737.9693023854285
Mornings,LightGBM,66990.1206060606,737.9693023854285
Mornings,LightGBM,67960.99191919192,737.9693023854285
Mornings,LightGBM,68931.86323232323,737.9693023854285
Mornings,LightGBM,69902.73454545454,737.9693023854285
Mornings,LightGBM,70873.60585858586,737.9693023854285
Mornings,LightGBM,71844.47717171717,737.9693023854285
Mornings,LightGBM,72815.34848484848,737.9693023854285
Mornings,LightGBM,73786.2197979798,737.9693023854285
Mornings,LightGBM,74757.0911111111,737.9693023854285
Mornings,LightGBM,75727.96242424242,737.9693023854285
Mornings,LightGBM,76698.83373737373,737.9693023854285
Mornings,LightGBM,77669.70505050504,738.2641945558286
Mornings,LightGBM,78640.57636363636,738.2641945558286
Mornings,LightGBM,79611.44767676767,738.2641945558286
Mornings,LightGBM,80582.31898989898,738.2641945558286
Mornings,LightGBM,81553.1903030303,738.2641945558286
Mornings,LightGBM,82524.0616161616,738.2641945558286
Mornings,LightGBM,83494.93292929292,738.2641945558286
Mornings,LightGBM,84465.80424242423,738.2641945558286
Mornings,LightGBM,85436.67555555554,738.2641945558286
Mornings,LightGBM,86407.54686868686,738.2641945558286
Mornings,LightGBM,87378.41818181818,738.2641945558286
Mornings,LightGBM,88349.2894949495,738.2641945558286
Mornings,LightGBM,89320.16080808081,738.2641945558286
Mornings,LightGBM,90291.03212121212,738.2641945558286
Mornings,LightGBM,91261.90343434343,630.3768961004752
Mornings,LightGBM,92232.77474747474,630.3768961004752
Mornings,LightGBM,93203.64606060606,630.3768961004752
Mornings,LightGBM,94174.51737373737,630.3768961004752
Mornings,LightGBM,95145.38868686868,630.3768961004752
Mornings,LightGBM,96116.26,630.3768961004752
Lunches,CatBoost,0.0,1145.1074651308522
Lunches,CatBoost,970.8713131313131,1137.2241711351926
Lunches,CatBoost,1941.7426262626261,1133.5327662950006
Lunches,CatBoost,2912.6139393939393,1133.5327662950006
Lunches,CatBoost,3883.4852525252522,1084.3501836524645
Lunches,CatBoost,4854.356565656565,1084.3501836524645
Lunches,CatBoost,5825.227878787879,1082.122026128203
Lunches,CatBoost,6796.099191919191,1080.3941081984422
Lunches,CatBoost,7766.9705050505045,1080.1494218615999
Lunches,CatBoost,8737.841818181818,1080.1472894455778
Lunches,CatBoost,9708.71313131313,1080.1799645358305
Lunches,CatBoost,10679.584444444443,1080.0031174980272
Lunches,CatBoost,11650.455757575757,1080.0031174980272
Lunches,CatBoost,12621.32707070707,1080.0031174980272
Lunches,CatBoost,13592.198383838382,1079.9963366980178
Lunches,CatBoost,14563.069696969696,1079.9963366980178
Lunches,CatBoost,15533.941010101009,1079.9963366980178
Lunches,CatBoost,16504.812323232323,1079.9963366980178
Lunches,CatBoost,17475.683636363636,1079.922397525009
