Dataset,Model,Temperature,Predicted Value
Evenings,LightGBM,10.46540404040404,515.6854707583656
Evenings,LightGBM,10.771969696969697,511.3378682434882
Evenings,LightGBM,11.078535353535354,528.2758785114669
Evenings,LightGBM,11.38510101010101,531.2356634065654
Evenings,LightGBM,11.691666666666666,530.7384720703569
Evenings,LightGBM,11.998232323232324,530.9511705810492
Evenings,LightGBM,12.30479797979798,534.4216871941367
Evenings,LightGBM,12.611363636363636,550.1607994498241
Evenings,LightGBM,12.917929292929294,549.2672706276086
Evenings,LightGBM,13.22449494949495,547.840883400669
Evenings,LightGBM,13.531060606060606,547.2616107798444
Evenings,LightGBM,13.837626262626262,546.0723550635245
Evenings,LightGBM,14.14419191919192,544.1445108147109
Evenings,LightGBM,14.450757575757576,552.8557552097056
Evenings,LightGBM,14.757323232323232,552.9015803843075
Evenings,LightGBM,15.06388888888889,602.2711735334559
Evenings,LightGBM,15.370454545454546,582.223575143197
Evenings,LightGBM,15.677020202020202,581.6614310699745
Evenings,LightGBM,15.98358585858586,585.2899752673735
Evenings,LightGBM,16.290151515151518,596.776052994655
Evenings,LightGBM,16.596717171717174,603.3496224138331
Evenings,LightGBM,16.90328282828283,596.6432852556663
Evenings,LightGBM,17.209848484848486,610.0095061382716
Evenings,LightGBM,17.516414141414142,591.2454940398178
Evenings,LightGBM,17.822979797979798,586.1248903791361
Evenings,LightGBM,18.129545454545454,584.4875431003986
Evenings,LightGBM,18.436111111111114,585.1825849075608
Evenings,LightGBM,18.74267676767677,592.2738388658722
Evenings,LightGBM,19.049242424242426,596.158868218943
Evenings,LightGBM,19.35580808080808,597.2099054738165
Evenings,LightGBM,19.662373737373738,601.2348138276213
Evenings,LightGBM,19.968939393939394,596.827680385917
Evenings,LightGBM,20.275505050505053,604.0104551154019
Evenings,LightGBM,20.58207070707071,602.9520460351275
Evenings,LightGBM,20.888636363636365,601.2447188676144
Evenings,LightGBM,21.19520202020202,596.8197860655736
Evenings,LightGBM,21.501767676767678,597.522649698831
