Dataset,Model,Building view mean,Predicted Value
All,CatBoost,0.23969178269178248,597.4127292237763
All,CatBoost,0.24340294840294818,597.4127292237763
All,CatBoost,0.24711411411411388,597.4127292237763
All,CatBoost,0.2508252798252796,597.4127292237763
All,CatBoost,0.25453644553644533,597.4127292237763
All,CatBoost,0.25824761124761103,597.0994541141104
All,CatBoost,0.26195877695877673,597.0994541141104
All,CatBoost,0.2656699426699424,597.0994541141104
All,CatBoost,0.2693811083811081,576.3804178510225
All,CatBoost,0.2730922740922738,576.3804178510225
All,CatBoost,0.2768034398034396,572.2169072549817
All,CatBoost,0.2805146055146053,572.2169072549817
All,CatBoost,0.284225771225771,571.2309198150573
All,CatBoost,0.28793693693693667,571.2309198150573
All,CatBoost,0.29164810264810237,571.2309198150573
All,CatBoost,0.29535926835926807,571.2309198150573
All,CatBoost,0.29907043407043377,571.1512945516833
All,CatBoost,0.30278159978159946,571.681020147648
All,CatBoost,0.3064927654927652,571.681020147648
All,CatBoost,0.3102039312039309,571.681020147648
All,CatBoost,0.3139150969150966,571.681020147648
All,CatBoost,0.3176262626262623,571.681020147648
All,CatBoost,0.321337428337428,571.644839382735
All,CatBoost,0.3250485940485937,571.644839382735
All,CatBoost,0.32875975975975946,571.644839382735
All,CatBoost,0.33247092547092516,571.644839382735
All,CatBoost,0.33618209118209086,571.644839382735
All,CatBoost,0.33989325689325656,571.644839382735
All,CatBoost,0.34360442260442225,589.4689509095467
All,CatBoost,0.34731558831558795,589.4689509095467
All,CatBoost,0.3510267540267537,592.2161042053511
All,CatBoost,0.3547379197379194,477.8887396363187
All,CatBoost,0.3584490854490851,477.8887396363187
All,CatBoost,0.3621602511602508,477.8887396363187
All,CatBoost,0.3658714168714165,477.8887396363187
All,CatBoost,0.3695825825825822,477.8887396363187
All,CatBoost,0.37329374829374795,477.8887396363187
All,CatBoost,0.37700491400491365,477.8887396363187
All,CatBoost,0.38071607971607935,704.224729123164
All,CatBoost,0.38442724542724505,704.224729123164
All,CatBoost,0.38813841113841074,704.224729123164
All,CatBoost,0.39184957684957644,704.224729123164
All,CatBoost,0.3955607425607422,702.2518668925155
All,CatBoost,0.3992719082719079,702.2518668925155
All,CatBoost,0.4029830739830736,702.2518668925155
All,CatBoost,0.4066942396942393,702.2518668925155
All,CatBoost,0.410405405405405,708.0060886443914
All,LightGBM,0.043,621.3598002803597
All,LightGBM,0.0467111657111657,621.3598002803597
All,LightGBM,0.050422331422331414,621.3598002803597
All,LightGBM,0.05413349713349712,621.3598002803597
All,LightGBM,0.057844662844662824,621.3598002803597
All,LightGBM,0.06155582855582853,621.3598002803597
All,LightGBM,0.06526699426699424,621.3598002803597
All,LightGBM,0.06897815997815995,621.3598002803597
All,LightGBM,0.07268932568932565,621.3598002803597
All,LightGBM,0.07640049140049136,621.3598002803597
All,LightGBM,0.08011165711165708,621.3598002803597
All,LightGBM,0.08382282282282277,621.3598002803597
All,LightGBM,0.08753398853398849,621.3598002803597
All,LightGBM,0.0912451542451542,621.3598002803597
All,LightGBM,0.0949563199563199,621.1154676809208
All,LightGBM,0.09866748566748561,621.1154676809208
All,LightGBM,0.10237865137865132,621.1154676809208
All,LightGBM,0.10608981708981702,621.1154676809208
All,LightGBM,0.10980098280098273,621.1154676809208
All,LightGBM,0.11351214851214843,621.1154676809208
All,LightGBM,0.11722331422331414,621.1154676809208
All,LightGBM,0.12093447993447985,621.1154676809208
All,LightGBM,0.12464564564564555,618.9816230140094
All,LightGBM,0.12835681135681126,618.9816230140094
All,LightGBM,0.13206797706797696,618.9816230140094
All,LightGBM,0.13577914277914266,613.7355533969142
All,LightGBM,0.13949030849030838,610.5772852501411
All,LightGBM,0.1432014742014741,610.5772852501411
All,LightGBM,0.1469126399126398,607.5847282033518
All,LightGBM,0.1506238056238055,607.5847282033518
All,LightGBM,0.1543349713349712,607.5497915585581
All,LightGBM,0.1580461370461369,607.5497915585581
All,LightGBM,0.16175730275730263,607.5497915585581
All,LightGBM,0.16546846846846835,607.5497915585581
All,LightGBM,0.16917963417963405,607.5497915585581
All,LightGBM,0.17289079989079975,607.095589654091
All,LightGBM,0.17660196560196545,607.095589654091
All,LightGBM,0.18031313131313115,607.095589654091
All,LightGBM,0.18402429702429685,607.095589654091
All,LightGBM,0.1877354627354626,607.095589654091
All,LightGBM,0.1914466284466283,607.095589654091
All,LightGBM,0.195157794157794,607.095589654091
All,LightGBM,0.1988689598689597,607.095589654091
All,LightGBM,0.2025801255801254,605.0297977561229
All,LightGBM,0.2062912912912911,605.0297977561229
All,LightGBM,0.21000245700245684,569.3733171020854
All,LightGBM,0.21371362271362254,591.6480115149195
All,LightGBM,0.21742478842478824,592.2593028341228
All,LightGBM,0.22113595413595394,592.5098528787126
All,LightGBM,0.22484711984711964,604.6584290290084
All,LightGBM,0.22855828555828533,604.6584290290084
All,LightGBM,0.2322694512694511,521.6847955273694
All,LightGBM,0.2359806169806168,530.968818362294
All,LightGBM,0.23969178269178248,530.968818362294
All,LightGBM,0.24340294840294818,530.968818362294
All,LightGBM,0.24711411411411388,542.8473236946685
All,LightGBM,0.2508252798252796,542.8473236946685
All,LightGBM,0.25453644553644533,542.8473236946685
All,LightGBM,0.25824761124761103,542.4403186638232
All,LightGBM,0.26195877695877673,542.4403186638232
All,LightGBM,0.2656699426699424,542.4403186638232
All,LightGBM,0.2693811083811081,518.6460352920982
All,LightGBM,0.2730922740922738,518.6460352920982
All,LightGBM,0.2768034398034396,518.6693747668484
All,LightGBM,0.2805146055146053,518.6693747668484
All,LightGBM,0.284225771225771,527.4254744787364
All,LightGBM,0.28793693693693667,527.0871717164998
All,LightGBM,0.29164810264810237,527.0871717164998
All,LightGBM,0.29535926835926807,527.0871717164998
All,LightGBM,0.29907043407043377,527.133361168149
All,LightGBM,0.30278159978159946,538.9976886911572
All,LightGBM,0.3064927654927652,538.9976886911572
All,LightGBM,0.3102039312039309,538.9976886911572
All,LightGBM,0.3139150969150966,538.9976886911572
All,LightGBM,0.3176262626262623,538.9976886911572
All,LightGBM,0.321337428337428,540.8881386367113
All,LightGBM,0.3250485940485937,540.8881386367113
All,LightGBM,0.32875975975975946,540.8881386367113
All,LightGBM,0.33247092547092516,540.8881386367113
All,LightGBM,0.33618209118209086,540.8881386367113
All,LightGBM,0.33989325689325656,540.8881386367113
All,LightGBM,0.34360442260442225,540.8766963566828
All,LightGBM,0.34731558831558795,540.8766963566828
All,LightGBM,0.3510267540267537,610.8908457906696
All,LightGBM,0.3547379197379194,526.6697898960936
All,LightGBM,0.3584490854490851,526.6697898960936
All,LightGBM,0.3621602511602508,526.6697898960936
All,LightGBM,0.3658714168714165,526.3589320385743
All,LightGBM,0.3695825825825822,526.3589320385743
All,LightGBM,0.37329374829374795,526.3589320385743
All,LightGBM,0.37700491400491365,526.3589320385743
All,LightGBM,0.38071607971607935,816.0222321081403
All,LightGBM,0.38442724542724505,816.0222321081403
All,LightGBM,0.38813841113841074,816.0222321081403
All,LightGBM,0.39184957684957644,816.0222321081403
