Dataset,Model,Footprint mean,Predicted Value
Mornings,LightGBM,18192.518434343434,769.4483990021502
Mornings,LightGBM,18377.94771717172,769.4483990021502
Mornings,LightGBM,18563.377,769.4483990021502
Afternoons,CatBoost,205.878,1165.861637579474
Afternoons,CatBoost,391.30728282828284,1162.5991766259745
Afternoons,CatBoost,576.7365656565656,1162.5991766259745
Afternoons,CatBoost,762.1658484848485,1163.0009902464387
Afternoons,CatBoost,947.5951313131313,1282.3918814907795
Afternoons,CatBoost,1133.0244141414141,1292.9177665302304
Afternoons,CatBoost,1318.453696969697,1293.526940716908
Afternoons,CatBoost,1503.8829797979797,1293.8718689782688
Afternoons,CatBoost,1689.3122626262625,1293.8718689782688
Afternoons,CatBoost,1874.7415454545453,1293.8718689782688
Afternoons,CatBoost,2060.170828282828,1293.8718689782688
Afternoons,CatBoost,2245.600111111111,1293.8718689782688
Afternoons,CatBoost,2431.029393939394,1293.860922963772
Afternoons,CatBoost,2616.458676767677,1293.860922963772
Afternoons,CatBoost,2801.8879595959597,1294.8651548577818
Afternoons,CatBoost,2987.3172424242425,1285.6494043835585
Afternoons,CatBoost,3172.7465252525253,1286.633905475903
Afternoons,CatBoost,3358.175808080808,1286.633905475903
Afternoons,CatBoost,3543.605090909091,1286.633905475903
Afternoons,CatBoost,3729.0343737373737,1286.633905475903
Afternoons,CatBoost,3914.4636565656565,1286.633905475903
Afternoons,CatBoost,4099.892939393939,1286.633905475903
Afternoons,CatBoost,4285.322222222222,1274.3410909667466
Afternoons,CatBoost,4470.751505050504,1274.3410909667466
Afternoons,CatBoost,4656.180787878788,1274.3410909667466
Afternoons,CatBoost,4841.61007070707,1274.3410909667466
Afternoons,CatBoost,5027.039353535353,1274.3410909667466
Afternoons,CatBoost,5212.468636363636,1274.3410909667466
Afternoons,CatBoost,5397.897919191919,1274.3410909667466
Afternoons,CatBoost,5583.327202020201,1274.3410909667466
Afternoons,CatBoost,5768.756484848484,1274.3410909667466
Afternoons,CatBoost,5954.185767676767,1274.3410909667466
Afternoons,CatBoost,6139.61505050505,1258.4432523479932
Afternoons,CatBoost,6325.044333333333,1258.4432523479932
Afternoons,CatBoost,6510.473616161616,1258.4432523479932
Afternoons,CatBoost,6695.902898989899,1258.4432523479932
Afternoons,CatBoost,6881.332181818181,1258.4432523479932
Afternoons,CatBoost,7066.761464646464,1258.4432523479932
