Dataset,Model,5 Bus count,Predicted Value
Mornings,XGBoost,0.7575757575757576,756.4572143554688
Mornings,XGBoost,0.9090909090909092,756.4572143554688
Mornings,XGBoost,1.0606060606060606,756.365966796875
Mornings,XGBoost,1.2121212121212122,756.365966796875
Mornings,XGBoost,1.3636363636363638,756.365966796875
Mornings,XGBoost,1.5151515151515151,756.365966796875
Mornings,XGBoost,1.6666666666666667,756.365966796875
Mornings,XGBoost,1.8181818181818183,756.365966796875
Mornings,XGBoost,1.9696969696969697,756.365966796875
Mornings,XGBoost,2.121212121212121,756.365966796875
Mornings,XGBoost,2.272727272727273,756.365966796875
Mornings,XGBoost,2.4242424242424243,756.365966796875
Mornings,XGBoost,2.5757575757575757,756.365966796875
Mornings,XGBoost,2.7272727272727275,756.365966796875
Mornings,XGBoost,2.878787878787879,756.365966796875
Mornings,XGBoost,3.0303030303030303,634.556884765625
Mornings,XGBoost,3.181818181818182,634.556884765625
Mornings,XGBoost,3.3333333333333335,634.556884765625
Mornings,XGBoost,3.484848484848485,634.556884765625
Mornings,XGBoost,3.6363636363636367,634.556884765625
Mornings,XGBoost,3.787878787878788,634.556884765625
Mornings,XGBoost,3.9393939393939394,634.556884765625
Mornings,XGBoost,4.090909090909091,634.736328125
Mornings,XGBoost,4.242424242424242,634.736328125
Mornings,XGBoost,4.3939393939393945,634.736328125
Mornings,XGBoost,4.545454545454546,634.736328125
Mornings,XGBoost,4.696969696969697,634.736328125
Mornings,XGBoost,4.848484848484849,634.736328125
Mornings,XGBoost,5.0,634.5595703125
Mornings,XGBoost,5.151515151515151,634.5595703125
Mornings,XGBoost,5.303030303030303,634.5595703125
Mornings,XGBoost,5.454545454545455,634.5595703125
Mornings,XGBoost,5.606060606060606,634.5595703125
Mornings,XGBoost,5.757575757575758,634.5595703125
Mornings,XGBoost,5.909090909090909,634.5595703125
Mornings,XGBoost,6.0606060606060606,634.5595703125
Mornings,XGBoost,6.212121212121212,634.5595703125
Mornings,XGBoost,6.363636363636364,634.5595703125
Mornings,XGBoost,6.515151515151516,634.5595703125
Mornings,XGBoost,6.666666666666667,634.5595703125
Mornings,XGBoost,6.818181818181818,634.5595703125
Mornings,XGBoost,6.96969696969697,634.5595703125
Mornings,XGBoost,7.121212121212121,634.6631469726562
Mornings,XGBoost,7.272727272727273,634.6631469726562
Mornings,XGBoost,7.424242424242425,634.6631469726562
Mornings,XGBoost,7.575757575757576,634.6631469726562
Mornings,XGBoost,7.7272727272727275,634.6631469726562
Mornings,XGBoost,7.878787878787879,634.6631469726562
Mornings,XGBoost,8.030303030303031,634.6137084960938
Mornings,XGBoost,8.181818181818182,634.6137084960938
Mornings,XGBoost,8.333333333333334,634.6137084960938
Mornings,XGBoost,8.484848484848484,634.6137084960938
Mornings,XGBoost,8.636363636363637,634.6137084960938
Mornings,XGBoost,8.787878787878789,634.6137084960938
Mornings,XGBoost,8.93939393939394,634.6137084960938
Mornings,XGBoost,9.090909090909092,634.6137084960938
Mornings,XGBoost,9.242424242424242,634.6137084960938
Mornings,XGBoost,9.393939393939394,634.6137084960938
Mornings,XGBoost,9.545454545454545,634.6137084960938
Mornings,XGBoost,9.696969696969697,634.6137084960938
Mornings,XGBoost,9.84848484848485,634.6137084960938
Mornings,XGBoost,10.0,634.6137084960938
Mornings,XGBoost,10.151515151515152,634.6137084960938
Mornings,XGBoost,10.303030303030303,634.6137084960938
Mornings,XGBoost,10.454545454545455,634.6137084960938
Mornings,XGBoost,10.606060606060606,634.6137084960938
Mornings,XGBoost,10.757575757575758,634.6137084960938
Mornings,XGBoost,10.90909090909091,634.6137084960938
Mornings,XGBoost,11.06060606060606,634.6137084960938
Mornings,XGBoost,11.212121212121213,634.6137084960938
Mornings,XGBoost,11.363636363636363,634.6137084960938
Mornings,XGBoost,11.515151515151516,634.6137084960938
