Dataset,Model,Day,Predicted Value
Afternoons,XGBoost,1.303030303030303,1217.0631103515625
Afternoons,XGBoost,1.606060606060606,1217.0631103515625
Afternoons,XGBoost,1.9090909090909092,1217.0631103515625
Afternoons,XGBoost,2.212121212121212,1220.4888916015625
Afternoons,XGBoost,2.515151515151515,1220.4888916015625
Afternoons,XGBoost,2.8181818181818183,1220.4888916015625
Afternoons,XGBoost,3.121212121212121,1218.4498291015625
Afternoons,XGBoost,3.4242424242424243,1218.4498291015625
Afternoons,XGBoost,3.7272727272727275,1218.4498291015625
Afternoons,XGBoost,4.03030303030303,1221.0299072265625
Afternoons,XGBoost,4.333333333333334,1221.0299072265625
Afternoons,XGBoost,4.636363636363637,1221.0299072265625
Afternoons,XGBoost,4.9393939393939394,1221.0299072265625
Afternoons,XGBoost,5.242424242424242,1223.86181640625
Afternoons,XGBoost,5.545454545454546,1223.86181640625
Afternoons,XGBoost,5.848484848484849,1223.86181640625
Afternoons,XGBoost,6.151515151515151,1224.23828125
Afternoons,XGBoost,6.454545454545455,1224.23828125
Afternoons,XGBoost,6.757575757575758,1224.23828125
Afternoons,XGBoost,7.0606060606060606,1222.2928466796875
Afternoons,XGBoost,7.363636363636364,1222.2928466796875
Afternoons,XGBoost,7.666666666666667,1222.2928466796875
Afternoons,XGBoost,7.96969696969697,1222.2928466796875
Afternoons,XGBoost,8.272727272727273,1229.42724609375
Afternoons,XGBoost,8.575757575757576,1229.42724609375
Afternoons,XGBoost,8.878787878787879,1229.42724609375
Afternoons,XGBoost,9.181818181818182,1224.396728515625
Afternoons,XGBoost,9.484848484848484,1224.396728515625
Afternoons,XGBoost,9.787878787878789,1224.396728515625
Afternoons,XGBoost,10.090909090909092,1227.915283203125
Afternoons,XGBoost,10.393939393939394,1227.915283203125
Afternoons,XGBoost,10.696969696969697,1227.915283203125
Afternoons,XGBoost,11.0,1230.5523681640625
Afternoons,XGBoost,11.303030303030303,1230.5523681640625
Afternoons,XGBoost,11.606060606060606,1230.5523681640625
Afternoons,XGBoost,11.90909090909091,1230.5523681640625
Afternoons,XGBoost,12.212121212121213,1230.7679443359375
Afternoons,XGBoost,12.515151515151516,1230.7679443359375
Afternoons,XGBoost,12.818181818181818,1230.7679443359375
Afternoons,XGBoost,13.121212121212121,1232.922119140625
Afternoons,XGBoost,13.424242424242424,1232.922119140625
Afternoons,XGBoost,13.727272727272728,1232.922119140625
Afternoons,XGBoost,14.030303030303031,1234.3232421875
Afternoons,XGBoost,14.333333333333334,1234.3232421875
Afternoons,XGBoost,14.636363636363637,1234.3232421875
Afternoons,XGBoost,14.93939393939394,1234.3232421875
Afternoons,XGBoost,15.242424242424242,1233.892822265625
Afternoons,XGBoost,15.545454545454547,1233.892822265625
Afternoons,XGBoost,15.84848484848485,1233.892822265625
Afternoons,XGBoost,16.151515151515152,1235.5379638671875
Afternoons,XGBoost,16.454545454545453,1235.5379638671875
Afternoons,XGBoost,16.757575757575758,1235.5379638671875
Afternoons,XGBoost,17.060606060606062,1230.08056640625
Afternoons,XGBoost,17.363636363636363,1230.08056640625
Afternoons,XGBoost,17.666666666666668,1230.08056640625
Afternoons,XGBoost,17.96969696969697,1230.08056640625
Afternoons,XGBoost,18.272727272727273,1225.9583740234375
Afternoons,XGBoost,18.575757575757578,1225.9583740234375
Afternoons,XGBoost,18.87878787878788,1225.9583740234375
Afternoons,XGBoost,19.181818181818183,1224.621826171875
Afternoons,XGBoost,19.484848484848484,1224.621826171875
Afternoons,XGBoost,19.78787878787879,1224.621826171875
Afternoons,XGBoost,20.09090909090909,1232.418701171875
Afternoons,XGBoost,20.393939393939394,1232.418701171875
Afternoons,XGBoost,20.6969696969697,1232.418701171875
Afternoons,XGBoost,21.0,1233.71337890625
Afternoons,XGBoost,21.303030303030305,1233.71337890625
Afternoons,XGBoost,21.606060606060606,1233.71337890625
Afternoons,XGBoost,21.90909090909091,1233.71337890625
Afternoons,XGBoost,22.21212121212121,1231.8057861328125
Afternoons,XGBoost,22.515151515151516,1231.8057861328125
Afternoons,XGBoost,22.81818181818182,1231.8057861328125
Afternoons,XGBoost,23.12121212121212,1229.8330078125
Afternoons,XGBoost,23.424242424242426,1229.8330078125
Afternoons,XGBoost,23.727272727272727,1229.8330078125
Afternoons,XGBoost,24.03030303030303,1221.2576904296875
Afternoons,XGBoost,24.333333333333336,1221.2576904296875
Afternoons,XGBoost,24.636363636363637,1221.2576904296875
Afternoons,XGBoost,24.93939393939394,1221.2576904296875
Afternoons,XGBoost,25.242424242424242,1220.96630859375
Afternoons,XGBoost,25.545454545454547,1220.96630859375
Afternoons,XGBoost,25.848484848484848,1220.96630859375
Afternoons,XGBoost,26.151515151515152,1221.4677734375
Afternoons,XGBoost,26.454545454545457,1221.4677734375
Afternoons,XGBoost,26.757575757575758,1221.4677734375
Afternoons,XGBoost,27.060606060606062,1224.859375
Afternoons,XGBoost,27.363636363636363,1224.859375
Afternoons,XGBoost,27.666666666666668,1224.859375
Afternoons,XGBoost,27.96969696969697,1224.859375
Afternoons,XGBoost,28.272727272727273,1222.6229248046875
Afternoons,XGBoost,28.575757575757578,1222.6229248046875
Afternoons,XGBoost,28.87878787878788,1222.6229248046875
Afternoons,XGBoost,29.181818181818183,1215.25146484375
Afternoons,XGBoost,29.484848484848484,1215.25146484375
Afternoons,XGBoost,29.78787878787879,1215.25146484375
Afternoons,XGBoost,30.090909090909093,1195.2750244140625
Afternoons,XGBoost,30.393939393939394,1195.2750244140625
Afternoons,XGBoost,30.6969696969697,1195.2750244140625
Afternoons,XGBoost,31.0,1181.566650390625
Evenings,LightGBM,1.0,532.1989516310266
Evenings,LightGBM,1.303030303030303,532.1989516310266
Evenings,LightGBM,1.606060606060606,531.550353474305
Evenings,LightGBM,1.9090909090909092,531.550353474305
Evenings,LightGBM,2.212121212121212,531.550353474305
Evenings,LightGBM,2.515151515151515,531.1065403532962
Evenings,LightGBM,2.8181818181818183,531.1065403532962
Evenings,LightGBM,3.121212121212121,531.1065403532962
Evenings,LightGBM,3.4242424242424243,531.1065403532962
Evenings,LightGBM,3.7272727272727275,534.5524663351088
Evenings,LightGBM,4.03030303030303,534.5524663351088
Evenings,LightGBM,4.333333333333334,534.5524663351088
Evenings,LightGBM,4.636363636363637,535.8235749139628
Evenings,LightGBM,4.9393939393939394,535.8235749139628
Evenings,LightGBM,5.242424242424242,535.8235749139628
Evenings,LightGBM,5.545454545454546,536.1560466027306
Evenings,LightGBM,5.848484848484849,536.1560466027306
Evenings,LightGBM,6.151515151515151,536.1560466027306
Evenings,LightGBM,6.454545454545455,536.1560466027306
Evenings,LightGBM,6.757575757575758,535.561269747752
Evenings,LightGBM,7.0606060606060606,535.561269747752
Evenings,LightGBM,7.363636363636364,535.561269747752
Evenings,LightGBM,7.666666666666667,536.911169707124
Evenings,LightGBM,7.96969696969697,536.911169707124
Evenings,LightGBM,8.272727272727273,536.911169707124
Evenings,LightGBM,8.575757575757576,536.4410150307447
Evenings,LightGBM,8.878787878787879,536.4410150307447
Evenings,LightGBM,9.181818181818182,536.4410150307447
Evenings,LightGBM,9.484848484848484,536.4410150307447
Evenings,LightGBM,9.787878787878789,536.5030495944142
Evenings,LightGBM,10.090909090909092,536.5030495944142
Evenings,LightGBM,10.393939393939394,536.5030495944142
Evenings,LightGBM,10.696969696969697,538.5770439167151
Evenings,LightGBM,11.0,538.5770439167151
Evenings,LightGBM,11.303030303030303,538.5770439167151
Evenings,LightGBM,11.606060606060606,538.8023445680242
Evenings,LightGBM,11.90909090909091,538.8023445680242
Evenings,LightGBM,12.212121212121213,538.8023445680242
Evenings,LightGBM,12.515151515151516,537.7293207955595
Evenings,LightGBM,12.818181818181818,537.7293207955595
Evenings,LightGBM,13.121212121212121,537.7293207955595
Evenings,LightGBM,13.424242424242424,537.7293207955595
Evenings,LightGBM,13.727272727272728,537.5326276189558
Evenings,LightGBM,14.030303030303031,537.5326276189558
Evenings,LightGBM,14.333333333333334,537.5326276189558
Evenings,LightGBM,14.636363636363637,539.7181283177189
Evenings,LightGBM,14.93939393939394,539.7181283177189
Evenings,LightGBM,15.242424242424242,539.7181283177189
Evenings,LightGBM,15.545454545454547,539.7401806561339
Evenings,LightGBM,15.84848484848485,539.7401806561339
Evenings,LightGBM,16.151515151515152,539.7401806561339
Evenings,LightGBM,16.454545454545453,539.7401806561339
Evenings,LightGBM,16.757575757575758,537.7224197014175
Evenings,LightGBM,17.060606060606062,537.7224197014175
Evenings,LightGBM,17.363636363636363,537.7224197014175
Evenings,LightGBM,17.666666666666668,538.4537353304571
Evenings,LightGBM,17.96969696969697,538.4537353304571
Evenings,LightGBM,18.272727272727273,538.4537353304571
Evenings,LightGBM,18.575757575757578,538.931376708036
Evenings,LightGBM,18.87878787878788,538.931376708036
Evenings,LightGBM,19.181818181818183,538.931376708036
Evenings,LightGBM,19.484848484848484,538.931376708036
Evenings,LightGBM,19.78787878787879,539.9161517503338
Evenings,LightGBM,20.09090909090909,539.9161517503338
Evenings,LightGBM,20.393939393939394,539.9161517503338
Evenings,LightGBM,20.6969696969697,541.8030970769356
Evenings,LightGBM,21.0,541.8030970769356
Evenings,LightGBM,21.303030303030305,541.8030970769356
Evenings,LightGBM,21.606060606060606,543.1701493673816
Evenings,LightGBM,21.90909090909091,543.1701493673816
Evenings,LightGBM,22.21212121212121,543.1701493673816
Evenings,LightGBM,22.515151515151516,543.8873331463122
Evenings,LightGBM,22.81818181818182,543.8873331463122
Evenings,LightGBM,23.12121212121212,543.8873331463122
Evenings,LightGBM,23.424242424242426,543.8873331463122
Evenings,LightGBM,23.727272727272727,544.6375274611686
Evenings,LightGBM,24.03030303030303,544.6375274611686
Evenings,LightGBM,24.333333333333336,544.6375274611686
Evenings,LightGBM,24.636363636363637,541.1018166839564
Evenings,LightGBM,24.93939393939394,541.1018166839564
Evenings,LightGBM,25.242424242424242,541.1018166839564
Evenings,LightGBM,25.545454545454547,536.6677795028402
Evenings,LightGBM,25.848484848484848,536.6677795028402
Evenings,LightGBM,26.151515151515152,536.6677795028402
Evenings,LightGBM,26.454545454545457,536.6677795028402
Evenings,LightGBM,26.757575757575758,537.4871845891046
Evenings,LightGBM,27.060606060606062,537.4871845891046
Evenings,LightGBM,27.363636363636363,537.4871845891046
Evenings,LightGBM,27.666666666666668,534.2153805713216
Evenings,LightGBM,27.96969696969697,534.2153805713216
Evenings,LightGBM,28.272727272727273,534.2153805713216
Evenings,LightGBM,28.575757575757578,531.8524630258001
Evenings,LightGBM,28.87878787878788,531.8524630258001
Evenings,LightGBM,29.181818181818183,531.8524630258001
Evenings,LightGBM,29.484848484848484,531.8524630258001
Evenings,LightGBM,29.78787878787879,525.341610292594
Evenings,LightGBM,30.090909090909093,525.341610292594
Evenings,LightGBM,30.393939393939394,525.341610292594
Evenings,LightGBM,30.6969696969697,611.1262196046906
Evenings,LightGBM,31.0,611.1262196046906
