Dataset,Model,Year,Predicted Value
Lunches,CatBoost,2013.141414141414,1088.0729990200696
Lunches,CatBoost,2013.2424242424242,1088.0729990200696
Lunches,CatBoost,2013.3434343434344,1088.0729990200696
Lunches,CatBoost,2013.4444444444443,1088.0729990200696
Lunches,CatBoost,2013.5454545454545,1097.2633517908453
Lunches,CatBoost,2013.6464646464647,1097.2633517908453
Lunches,CatBoost,2013.7474747474748,1097.2633517908453
Lunches,CatBoost,2013.8484848484848,1097.2633517908453
Lunches,CatBoost,2013.949494949495,1097.2633517908453
Lunches,CatBoost,2014.050505050505,1097.2633517908453
Lunches,CatBoost,2014.1515151515152,1097.2633517908453
Lunches,CatBoost,2014.2525252525252,1097.2633517908453
Lunches,CatBoost,2014.3535353535353,1097.2633517908453
Lunches,CatBoost,2014.4545454545455,1097.2633517908453
Lunches,CatBoost,2014.5555555555557,1107.9462304186488
Lunches,CatBoost,2014.6565656565656,1107.9462304186488
Lunches,CatBoost,2014.7575757575758,1107.9462304186488
Lunches,CatBoost,2014.858585858586,1107.9462304186488
Lunches,CatBoost,2014.959595959596,1107.9462304186488
Lunches,CatBoost,2015.060606060606,1107.9462304186488
Lunches,CatBoost,2015.1616161616162,1107.9462304186488
Lunches,CatBoost,2015.2626262626263,1107.9462304186488
Lunches,CatBoost,2015.3636363636363,1107.9462304186488
Lunches,CatBoost,2015.4646464646464,1107.9462304186488
Lunches,CatBoost,2015.5656565656566,1124.2370018213335
Lunches,CatBoost,2015.6666666666667,1124.2370018213335
Lunches,CatBoost,2015.7676767676767,1124.2370018213335
Lunches,CatBoost,2015.8686868686868,1124.2370018213335
Lunches,CatBoost,2015.969696969697,1124.2370018213335
Lunches,CatBoost,2016.0707070707072,1124.2370018213335
Lunches,CatBoost,2016.171717171717,1124.2370018213335
Lunches,CatBoost,2016.2727272727273,1124.2370018213335
Lunches,CatBoost,2016.3737373737374,1124.2370018213335
Lunches,CatBoost,2016.4747474747476,1124.2370018213335
Lunches,CatBoost,2016.5757575757575,1124.6686695051785
Lunches,CatBoost,2016.6767676767677,1124.6686695051785
Lunches,CatBoost,2016.7777777777778,1124.6686695051785
Lunches,CatBoost,2016.878787878788,1124.6686695051785
Lunches,CatBoost,2016.979797979798,1124.6686695051785
Lunches,CatBoost,2017.080808080808,1124.6686695051785
Lunches,CatBoost,2017.1818181818182,1124.6686695051785
Lunches,CatBoost,2017.2828282828282,1124.6686695051785
Lunches,CatBoost,2017.3838383838383,1124.6686695051785
Lunches,CatBoost,2017.4848484848485,1124.6686695051785
Lunches,CatBoost,2017.5858585858587,1128.2174037810994
Lunches,CatBoost,2017.6868686868686,1128.2174037810994
Lunches,CatBoost,2017.7878787878788,1128.2174037810994
Lunches,CatBoost,2017.888888888889,1128.2174037810994
Lunches,CatBoost,2017.989898989899,1128.2174037810994
Lunches,CatBoost,2018.090909090909,1128.2174037810994
Lunches,CatBoost,2018.1919191919192,1128.2174037810994
Lunches,CatBoost,2018.2929292929293,1128.2174037810994
Lunches,CatBoost,2018.3939393939395,1128.2174037810994
Lunches,CatBoost,2018.4949494949494,1128.2174037810994
Lunches,CatBoost,2018.5959595959596,1116.8234311239
Lunches,CatBoost,2018.6969696969697,1116.8234311239
Lunches,CatBoost,2018.79797979798,1116.8234311239
Lunches,CatBoost,2018.8989898989898,1116.8234311239
Lunches,CatBoost,2019.0,1116.8234311239
Lunches,LightGBM,2009.0,1091.789706504394
Lunches,LightGBM,2009.1010101010102,1091.789706504394
Lunches,LightGBM,2009.20202020202,1091.789706504394
Lunches,LightGBM,2009.3030303030303,1091.789706504394
Lunches,LightGBM,2009.4040404040404,1091.789706504394
Lunches,LightGBM,2009.5050505050506,1081.9419953806164
Lunches,LightGBM,2009.6060606060605,1081.9419953806164
Lunches,LightGBM,2009.7070707070707,1081.9419953806164
Lunches,LightGBM,2009.8080808080808,1081.9419953806164
Lunches,LightGBM,2009.909090909091,1081.9419953806164
Lunches,LightGBM,2010.010101010101,1081.9419953806164
Lunches,LightGBM,2010.111111111111,1081.9419953806164
Lunches,LightGBM,2010.2121212121212,1081.9419953806164
Lunches,LightGBM,2010.3131313131314,1081.9419953806164
Lunches,LightGBM,2010.4141414141413,1081.9419953806164
Lunches,LightGBM,2010.5151515151515,1098.2704515548892
Lunches,LightGBM,2010.6161616161617,1098.2704515548892
Lunches,LightGBM,2010.7171717171718,1098.2704515548892
Lunches,LightGBM,2010.8181818181818,1098.2704515548892
Lunches,LightGBM,2010.919191919192,1098.2704515548892
Lunches,LightGBM,2011.020202020202,1098.2704515548892
Lunches,LightGBM,2011.121212121212,1098.2704515548892
Lunches,LightGBM,2011.2222222222222,1098.2704515548892
Lunches,LightGBM,2011.3232323232323,1098.2704515548892
Lunches,LightGBM,2011.4242424242425,1098.2704515548892
Lunches,LightGBM,2011.5252525252524,1100.719251529007
Lunches,LightGBM,2011.6262626262626,1100.719251529007
Lunches,LightGBM,2011.7272727272727,1100.719251529007
Lunches,LightGBM,2011.828282828283,1100.719251529007
Lunches,LightGBM,2011.9292929292928,1100.719251529007
Lunches,LightGBM,2012.030303030303,1100.719251529007
Lunches,LightGBM,2012.1313131313132,1100.719251529007
Lunches,LightGBM,2012.2323232323233,1100.719251529007
Lunches,LightGBM,2012.3333333333333,1100.719251529007
Lunches,LightGBM,2012.4343434343434,1100.719251529007
Lunches,LightGBM,2012.5353535353536,1097.1674953441252
Lunches,LightGBM,2012.6363636363637,1097.1674953441252
Lunches,LightGBM,2012.7373737373737,1097.1674953441252
Lunches,LightGBM,2012.8383838383838,1097.1674953441252
Lunches,LightGBM,2012.939393939394,1097.1674953441252
Lunches,LightGBM,2013.040404040404,1097.1674953441252
Lunches,LightGBM,2013.141414141414,1097.1674953441252
Lunches,LightGBM,2013.2424242424242,1097.1674953441252
Lunches,LightGBM,2013.3434343434344,1097.1674953441252
Lunches,LightGBM,2013.4444444444443,1097.1674953441252
Lunches,LightGBM,2013.5454545454545,1100.417450486341
