Dataset,Model,Total precipitation,Predicted Value
Lunches,LightGBM,1.2909570707070708,1074.4129841597794
Lunches,LightGBM,1.3184242424242425,1102.1565946626984
Lunches,LightGBM,1.3458914141414142,1069.7771866000626
Lunches,LightGBM,1.373358585858586,1067.1371729151367
Lunches,LightGBM,1.4008257575757577,1067.1371729151367
Lunches,LightGBM,1.4282929292929294,1067.1371729151367
Lunches,LightGBM,1.4557601010101011,1067.1371729151367
Lunches,LightGBM,1.4832272727272728,1079.353403241468
Lunches,LightGBM,1.5106944444444446,1079.353403241468
Lunches,LightGBM,1.5381616161616163,1079.353403241468
Lunches,LightGBM,1.565628787878788,1079.353403241468
Lunches,LightGBM,1.5930959595959597,1079.353403241468
Lunches,LightGBM,1.6205631313131315,1079.353403241468
Lunches,LightGBM,1.6480303030303032,1093.3134423004722
Lunches,LightGBM,1.675497474747475,1093.3134423004722
Lunches,LightGBM,1.7029646464646466,1093.3134423004722
Lunches,LightGBM,1.7304318181818183,1093.3134423004722
Lunches,LightGBM,1.75789898989899,1008.5314838911424
Lunches,LightGBM,1.7853661616161618,1008.5314838911424
Lunches,LightGBM,1.8128333333333335,1008.5314838911424
Lunches,LightGBM,1.8403005050505052,1008.5314838911424
Lunches,LightGBM,1.867767676767677,1008.5314838911424
Lunches,LightGBM,1.8952348484848487,1008.5314838911424
Lunches,LightGBM,1.9227020202020204,1008.5314838911424
Lunches,LightGBM,1.9501691919191921,1008.5314838911424
Lunches,LightGBM,1.9776363636363639,1008.5314838911424
Lunches,LightGBM,2.0051035353535354,1008.5314838911424
Lunches,LightGBM,2.032570707070707,1008.5314838911424
Lunches,LightGBM,2.060037878787879,1008.5314838911424
Lunches,LightGBM,2.0875050505050505,1008.5314838911424
Lunches,LightGBM,2.1149722222222223,1008.5314838911424
Lunches,LightGBM,2.142439393939394,1008.5314838911424
Lunches,LightGBM,2.1699065656565657,1008.5314838911424
Lunches,LightGBM,2.1973737373737374,1008.5314838911424
Lunches,LightGBM,2.224840909090909,1008.5314838911424
Lunches,LightGBM,2.252308080808081,1090.7947621456244
Lunches,LightGBM,2.2797752525252526,1090.7947621456244
Lunches,LightGBM,2.3072424242424243,1090.7947621456244
Lunches,LightGBM,2.334709595959596,1090.7947621456244
Lunches,LightGBM,2.3621767676767678,1090.7947621456244
Lunches,LightGBM,2.3896439393939395,1090.7947621456244
Lunches,LightGBM,2.417111111111111,1090.7947621456244
Lunches,LightGBM,2.444578282828283,1090.7947621456244
Lunches,LightGBM,2.4720454545454547,1090.7947621456244
Lunches,LightGBM,2.4995126262626264,1090.7947621456244
Lunches,LightGBM,2.526979797979798,1090.7947621456244
Lunches,LightGBM,2.55444696969697,1090.7947621456244
Lunches,LightGBM,2.5819141414141416,1090.7947621456244
Lunches,LightGBM,2.6093813131313133,1090.7947621456244
Lunches,LightGBM,2.636848484848485,1090.7947621456244
Lunches,LightGBM,2.6643156565656567,1090.7947621456244
Lunches,LightGBM,2.6917828282828284,1090.7947621456244
Lunches,LightGBM,2.71925,1090.7947621456244
Lunches,XGBoost,0.0,1133.5782470703125
Lunches,XGBoost,0.02746717171717172,1095.4599609375
