Dataset,Model,Longitude,Predicted Value
Lunches,LightGBM,144.9498672339394,1092.138711846027
Lunches,LightGBM,144.95020591040404,1092.138711846027
Lunches,LightGBM,144.9505445868687,1092.138711846027
Lunches,LightGBM,144.95088326333334,1092.138711846027
Lunches,LightGBM,144.951221939798,1092.138711846027
Lunches,LightGBM,144.95156061626264,1092.138711846027
Lunches,LightGBM,144.9518992927273,1092.138711846027
Lunches,LightGBM,144.9522379691919,1092.138711846027
Lunches,LightGBM,144.95257664565656,1092.155737426162
Lunches,LightGBM,144.9529153221212,1092.155737426162
Lunches,LightGBM,144.95325399858586,1092.155737426162
Lunches,LightGBM,144.95359267505052,1092.155737426162
Lunches,LightGBM,144.95393135151517,1092.155737426162
Lunches,LightGBM,144.9542700279798,1092.8484224505178
Lunches,LightGBM,144.95460870444444,1091.9009809180463
Lunches,LightGBM,144.9549473809091,1091.9009809180463
Lunches,LightGBM,144.95528605737374,1090.8969720746466
Lunches,LightGBM,144.9556247338384,1090.8969720746466
Lunches,LightGBM,144.95596341030304,1090.8969720746466
Lunches,LightGBM,144.9563020867677,1090.8969720746466
Lunches,LightGBM,144.95664076323231,1090.8969720746466
Lunches,LightGBM,144.95697943969697,1090.8969720746466
Lunches,LightGBM,144.95731811616162,1090.8969720746466
Lunches,LightGBM,144.95765679262627,1090.8787173192172
Lunches,LightGBM,144.95799546909092,1090.8787173192172
Lunches,LightGBM,144.95833414555557,1090.8787173192172
Lunches,LightGBM,144.95867282202022,1090.8787173192172
Lunches,LightGBM,144.95901149848484,1090.8787173192172
Lunches,LightGBM,144.9593501749495,1091.557125257395
Lunches,LightGBM,144.95968885141414,1091.557125257395
Lunches,LightGBM,144.9600275278788,1091.557125257395
Lunches,LightGBM,144.96036620434344,1091.557125257395
Lunches,LightGBM,144.9607048808081,1091.5382904782768
Lunches,LightGBM,144.96104355727272,1091.5382904782768
Lunches,LightGBM,144.96138223373737,1092.7635603796803
Lunches,LightGBM,144.96172091020202,1092.6272859295239
Lunches,LightGBM,144.96205958666667,1092.270983354187
Lunches,LightGBM,144.96239826313132,1092.9237852236033
Lunches,LightGBM,144.96273693959597,1092.9237852236033
Lunches,LightGBM,144.96307561606062,1093.7502783930772
Lunches,LightGBM,144.96341429252524,1093.14737318536
Lunches,LightGBM,144.9637529689899,1093.143135880823
Lunches,LightGBM,144.96409164545454,1093.0805343539735
Lunches,LightGBM,144.9644303219192,1092.9414985603287
Lunches,LightGBM,144.96476899838385,1095.0259488835889
Lunches,LightGBM,144.9651076748485,1095.0259488835889
Lunches,LightGBM,144.96544635131312,1095.5325096235354
Lunches,LightGBM,144.96578502777777,1096.56788505965
Lunches,LightGBM,144.96612370424242,1096.9603030834571
Lunches,LightGBM,144.96646238070707,1097.0631806445228
Lunches,LightGBM,144.96680105717172,1103.3676213760273
Lunches,LightGBM,144.96713973363637,1103.2488970748732
Lunches,LightGBM,144.96747841010102,1103.2488970748732
Lunches,LightGBM,144.96781708656565,1102.850896768079
Lunches,LightGBM,144.9681557630303,1104.3215931448406
Lunches,LightGBM,144.96849443949495,1104.1550486112485
Lunches,LightGBM,144.9688331159596,1104.1084475956552
Lunches,LightGBM,144.96917179242425,1104.1084475956552
Lunches,LightGBM,144.9695104688889,1100.6183158467366
Lunches,LightGBM,144.96984914535355,1100.6183158467366
Lunches,LightGBM,144.97018782181817,1100.6183158467366
Lunches,LightGBM,144.97052649828282,1100.6183158467366
Lunches,LightGBM,144.97086517474747,1100.6183158467366
Lunches,LightGBM,144.97120385121212,1104.0098910510783
Lunches,LightGBM,144.97154252767677,1104.0098910510783
Lunches,LightGBM,144.97188120414143,1104.0098910510783
Lunches,LightGBM,144.97221988060605,1104.0098910510783
Lunches,LightGBM,144.9725585570707,1104.0098910510783
Lunches,LightGBM,144.97289723353535,1104.0098910510783
Lunches,LightGBM,144.97323591,1237.8490709676698
Evenings,CatBoost,144.93970694,523.1607528594596
Evenings,CatBoost,144.94004561646466,523.1607528594596
Evenings,CatBoost,144.9403842929293,523.1607528594596
Evenings,CatBoost,144.94072296939396,523.1607528594596
Evenings,CatBoost,144.94106164585858,523.1607528594596
Evenings,CatBoost,144.94140032232323,524.4295849397806
Evenings,CatBoost,144.94173899878788,524.4295849397806
Evenings,CatBoost,144.94207767525253,524.4295849397806
Evenings,CatBoost,144.94241635171718,524.4295849397806
Evenings,CatBoost,144.94275502818184,524.4295849397806
Evenings,CatBoost,144.94309370464646,524.4295849397806
Evenings,CatBoost,144.9434323811111,524.4295849397806
Evenings,CatBoost,144.94377105757576,524.4295849397806
Evenings,CatBoost,144.9441097340404,524.4295849397806
Evenings,CatBoost,144.94444841050506,524.4295849397806
Evenings,CatBoost,144.9447870869697,524.4295849397806
Evenings,CatBoost,144.94512576343436,524.4295849397806
Evenings,CatBoost,144.94546443989898,524.4295849397806
Evenings,CatBoost,144.94580311636363,524.4295849397806
Evenings,CatBoost,144.94614179282829,524.4295849397806
Evenings,CatBoost,144.94648046929294,524.4295849397806
Evenings,CatBoost,144.9468191457576,524.4295849397806
Evenings,CatBoost,144.94715782222224,524.4295849397806
Evenings,CatBoost,144.9474964986869,524.4295849397806
Evenings,CatBoost,144.9478351751515,524.4295849397806
Evenings,CatBoost,144.94817385161616,524.4295849397806
Evenings,CatBoost,144.9485125280808,524.4295849397806
Evenings,CatBoost,144.94885120454546,524.4295849397806
Evenings,CatBoost,144.9491898810101,524.4295849397806
Evenings,CatBoost,144.94952855747476,524.4295849397806
Evenings,CatBoost,144.9498672339394,524.4295849397806
Evenings,CatBoost,144.95020591040404,524.4295849397806
Evenings,CatBoost,144.9505445868687,524.4295849397806
Evenings,CatBoost,144.95088326333334,524.4295849397806
Evenings,CatBoost,144.951221939798,524.4295849397806
Evenings,CatBoost,144.95156061626264,524.4295849397806
Evenings,CatBoost,144.9518992927273,524.4295849397806
Evenings,CatBoost,144.9522379691919,524.4295849397806
Evenings,CatBoost,144.95257664565656,524.4295849397806
Evenings,CatBoost,144.9529153221212,524.4295849397806
Evenings,CatBoost,144.95325399858586,524.4295849397806
Evenings,CatBoost,144.95359267505052,524.4295849397806
Evenings,CatBoost,144.95393135151517,524.4295849397806
Evenings,CatBoost,144.9542700279798,524.4295849397806
Evenings,CatBoost,144.95460870444444,523.4781389624486
Evenings,CatBoost,144.9549473809091,523.4781389624486
Evenings,CatBoost,144.95528605737374,523.4781389624486
Evenings,CatBoost,144.9556247338384,523.4781389624486
Evenings,CatBoost,144.95596341030304,523.4781389624486
Evenings,CatBoost,144.9563020867677,523.4781389624486
Evenings,CatBoost,144.95664076323231,523.4781389624486
Evenings,CatBoost,144.95697943969697,523.4781389624486
Evenings,CatBoost,144.95731811616162,523.4781389624486
Evenings,CatBoost,144.95765679262627,523.4781389624486
Evenings,CatBoost,144.95799546909092,523.4781389624486
Evenings,CatBoost,144.95833414555557,523.4781389624486
