Dataset,Model,Day type,Predicted Value
All,LightGBM,0.5252525252525253,512.4789777330228
All,LightGBM,0.5353535353535354,512.4789777330228
All,LightGBM,0.5454545454545455,512.4789777330228
All,LightGBM,0.5555555555555556,512.4789777330228
All,LightGBM,0.5656565656565657,512.4789777330228
All,LightGBM,0.5757575757575758,512.4789777330228
All,LightGBM,0.5858585858585859,512.4789777330228
All,LightGBM,0.595959595959596,512.4789777330228
All,LightGBM,0.6060606060606061,512.4789777330228
All,LightGBM,0.6161616161616162,512.4789777330228
All,LightGBM,0.6262626262626263,512.4789777330228
All,LightGBM,0.6363636363636365,512.4789777330228
All,LightGBM,0.6464646464646465,512.4789777330228
All,LightGBM,0.6565656565656566,512.4789777330228
All,LightGBM,0.6666666666666667,512.4789777330228
All,LightGBM,0.6767676767676768,512.4789777330228
All,LightGBM,0.686868686868687,512.4789777330228
All,LightGBM,0.696969696969697,512.4789777330228
All,LightGBM,0.7070707070707072,512.4789777330228
All,LightGBM,0.7171717171717172,512.4789777330228
All,LightGBM,0.7272727272727273,512.4789777330228
All,LightGBM,0.7373737373737375,512.4789777330228
All,LightGBM,0.7474747474747475,512.4789777330228
All,LightGBM,0.7575757575757577,512.4789777330228
All,LightGBM,0.7676767676767677,512.4789777330228
All,LightGBM,0.7777777777777778,512.4789777330228
All,LightGBM,0.787878787878788,512.4789777330228
All,LightGBM,0.797979797979798,512.4789777330228
All,LightGBM,0.8080808080808082,512.4789777330228
All,LightGBM,0.8181818181818182,512.4789777330228
All,LightGBM,0.8282828282828284,512.4789777330228
All,LightGBM,0.8383838383838385,512.4789777330228
All,LightGBM,0.8484848484848485,512.4789777330228
All,LightGBM,0.8585858585858587,512.4789777330228
All,LightGBM,0.8686868686868687,512.4789777330228
All,LightGBM,0.8787878787878789,512.4789777330228
All,LightGBM,0.888888888888889,512.4789777330228
All,LightGBM,0.8989898989898991,512.4789777330228
All,LightGBM,0.9090909090909092,512.4789777330228
All,LightGBM,0.9191919191919192,512.4789777330228
All,LightGBM,0.9292929292929294,512.4789777330228
All,LightGBM,0.9393939393939394,512.4789777330228
