Dataset,Model,15 Dwelling count,Predicted Value
Mornings,LightGBM,5481.040404040404,649.6726251176968
Mornings,LightGBM,5776.292929292929,649.6726251176968
Mornings,LightGBM,6071.545454545454,668.7476733312363
Mornings,LightGBM,6366.79797979798,695.1739389030896
Mornings,LightGBM,6662.050505050504,689.0622527958922
Mornings,LightGBM,6957.30303030303,692.9289896578588
Mornings,LightGBM,7252.555555555555,694.9962398720972
Mornings,LightGBM,7547.80808080808,694.271536903702
Mornings,LightGBM,7843.060606060606,703.0209645158604
Mornings,LightGBM,8138.313131313131,698.3327108077935
Mornings,LightGBM,8433.565656565657,699.6827697851029
Mornings,LightGBM,8728.81818181818,701.3057227211633
Mornings,LightGBM,9024.070707070707,688.5686446417031
Mornings,LightGBM,9319.323232323231,682.7602344502903
Mornings,LightGBM,9614.575757575756,682.7502801770174
Mornings,LightGBM,9909.828282828283,683.1277601187851
Mornings,LightGBM,10205.080808080807,730.8845952810696
Mornings,LightGBM,10500.333333333332,743.6432116746992
Mornings,LightGBM,10795.585858585859,747.5264756301605
Mornings,LightGBM,11090.838383838383,759.3770735927623
Mornings,LightGBM,11386.090909090908,760.959196689739
Mornings,LightGBM,11681.343434343433,760.436462770659
Mornings,LightGBM,11976.59595959596,761.1116199802207
Mornings,LightGBM,12271.848484848484,762.8854677119441
Mornings,LightGBM,12567.101010101009,767.9657557539343
Mornings,LightGBM,12862.353535353535,772.1766986320712
Mornings,LightGBM,13157.60606060606,776.8468047744082
Mornings,LightGBM,13452.858585858585,777.7547113248003
Mornings,LightGBM,13748.11111111111,768.970993169468
Mornings,LightGBM,14043.363636363636,766.1279448295658
Mornings,LightGBM,14338.61616161616,756.5555188720535
Mornings,LightGBM,14633.868686868685,758.8304895834658
Mornings,LightGBM,14929.121212121212,759.268491779329
Mornings,LightGBM,15224.373737373737,762.3064966741856
Mornings,LightGBM,15519.626262626261,751.3213510053624
Mornings,LightGBM,15814.878787878786,774.3049223477119
Mornings,LightGBM,16110.131313131313,774.2627574390617
Mornings,LightGBM,16405.383838383837,779.925628416419
Mornings,LightGBM,16700.63636363636,779.9315962130067
Mornings,LightGBM,16995.888888888887,782.6585509997119
Mornings,LightGBM,17291.141414141413,782.6769459163748
Mornings,LightGBM,17586.39393939394,782.6769459163748
Mornings,LightGBM,17881.646464646463,782.3522908016174
Mornings,LightGBM,18176.89898989899,782.3522908016174
Mornings,LightGBM,18472.151515151512,782.3522908016174
Mornings,LightGBM,18767.40404040404,782.294007778225
Mornings,LightGBM,19062.656565656565,782.294007778225
Mornings,LightGBM,19357.90909090909,782.294007778225
Mornings,LightGBM,19653.161616161615,782.3099804392925
Mornings,LightGBM,19948.41414141414,782.3354714589401
Mornings,LightGBM,20243.666666666664,782.3821200702008
Mornings,LightGBM,20538.91919191919,782.3821200702008
Mornings,LightGBM,20834.171717171717,782.3821200702008
Mornings,LightGBM,21129.42424242424,782.3821200702008
Mornings,LightGBM,21424.676767676767,782.3821200702008
Mornings,LightGBM,21719.92929292929,782.3821200702008
Mornings,LightGBM,22015.181818181816,782.393673530429
Mornings,LightGBM,22310.434343434343,782.393673530429
Mornings,LightGBM,22605.686868686866,782.393673530429
Mornings,LightGBM,22900.939393939392,782.2462707038632
Mornings,LightGBM,23196.19191919192,782.2462707038632
Mornings,LightGBM,23491.44444444444,782.2462707038632
Mornings,LightGBM,23786.696969696968,782.3275490013065
Mornings,LightGBM,24081.949494949495,782.3275490013065
Mornings,LightGBM,24377.202020202018,782.4017832524344
Mornings,LightGBM,24672.454545454544,782.5135288352076
Mornings,LightGBM,24967.70707070707,782.801578770869
Mornings,LightGBM,25262.959595959594,783.9827192697825
Mornings,LightGBM,25558.21212121212,783.9827192697825
Mornings,LightGBM,25853.464646464643,783.9827192697825
Mornings,LightGBM,26148.71717171717,782.3819157316882
Mornings,LightGBM,26443.969696969696,782.3819157316882
Mornings,LightGBM,26739.22222222222,782.3819157316882
Mornings,LightGBM,27034.474747474746,786.5652838564247
Mornings,LightGBM,27329.727272727272,785.4668771598014
Mornings,LightGBM,27624.979797979795,785.4668771598014
Mornings,LightGBM,27920.23232323232,785.4668771598014
