Dataset,Model,5 Total transit stop count,Predicted Value
Mornings,XGBoost,1.393939393939394,669.8727416992188
Mornings,XGBoost,1.6262626262626263,669.8727416992188
Mornings,XGBoost,1.8585858585858586,669.8727416992188
Mornings,XGBoost,2.090909090909091,668.6334228515625
Mornings,XGBoost,2.323232323232323,668.6334228515625
Mornings,XGBoost,2.5555555555555554,668.6334228515625
Mornings,XGBoost,2.787878787878788,668.6334228515625
Mornings,XGBoost,3.0202020202020203,668.6334228515625
Mornings,XGBoost,3.2525252525252526,668.6334228515625
Mornings,XGBoost,3.484848484848485,668.6334228515625
Mornings,XGBoost,3.717171717171717,668.6334228515625
Mornings,XGBoost,3.9494949494949494,668.6334228515625
Mornings,XGBoost,4.181818181818182,668.5337524414062
Mornings,XGBoost,4.414141414141414,668.5337524414062
Mornings,XGBoost,4.646464646464646,668.5337524414062
Mornings,XGBoost,4.878787878787879,668.5337524414062
Mornings,XGBoost,5.111111111111111,668.383544921875
Mornings,XGBoost,5.343434343434343,668.383544921875
Mornings,XGBoost,5.575757575757576,668.383544921875
Mornings,XGBoost,5.808080808080808,668.383544921875
Mornings,XGBoost,6.040404040404041,668.6422119140625
Mornings,XGBoost,6.2727272727272725,668.6422119140625
Mornings,XGBoost,6.505050505050505,668.6422119140625
Mornings,XGBoost,6.737373737373737,668.6422119140625
Mornings,XGBoost,6.96969696969697,668.6422119140625
Mornings,XGBoost,7.2020202020202015,675.8353271484375
Mornings,XGBoost,7.434343434343434,675.8353271484375
Mornings,XGBoost,7.666666666666667,675.8353271484375
Mornings,XGBoost,7.898989898989899,675.8353271484375
Mornings,XGBoost,8.131313131313131,673.8632202148438
Mornings,XGBoost,8.363636363636363,673.8632202148438
Mornings,XGBoost,8.595959595959595,673.8632202148438
Mornings,XGBoost,8.828282828282829,673.8632202148438
Mornings,XGBoost,9.06060606060606,673.8914794921875
Mornings,XGBoost,9.292929292929292,673.8914794921875
Mornings,XGBoost,9.525252525252526,673.8914794921875
Mornings,XGBoost,9.757575757575758,673.8914794921875
Mornings,XGBoost,9.98989898989899,673.8914794921875
Mornings,XGBoost,10.222222222222221,673.8670654296875
Mornings,XGBoost,10.454545454545455,673.8670654296875
Mornings,XGBoost,10.686868686868687,673.8670654296875
Mornings,XGBoost,10.919191919191919,673.8670654296875
Mornings,XGBoost,11.151515151515152,673.8670654296875
Mornings,XGBoost,11.383838383838384,673.8670654296875
Mornings,XGBoost,11.616161616161616,673.8670654296875
Mornings,XGBoost,11.848484848484848,673.8670654296875
Mornings,XGBoost,12.080808080808081,674.1585083007812
Mornings,XGBoost,12.313131313131313,674.1585083007812
