Dataset,Model,Wind speed,Predicted Value
Lunches,XGBoost,7.924469696969696,1113.323974609375
Lunches,XGBoost,8.04,1113.323974609375
Lunches,XGBoost,8.155530303030302,1113.0242919921875
Lunches,XGBoost,8.271060606060605,1111.8909912109375
Lunches,XGBoost,8.386590909090907,1111.8909912109375
Lunches,XGBoost,8.50212121212121,1106.1663818359375
Lunches,XGBoost,8.617651515151515,1103.4903564453125
Lunches,XGBoost,8.733181818181817,1075.8436279296875
Lunches,XGBoost,8.84871212121212,1075.8436279296875
Lunches,XGBoost,8.964242424242423,1089.046875
Lunches,XGBoost,9.079772727272726,1089.046875
Lunches,XGBoost,9.195303030303029,1089.046875
Lunches,XGBoost,9.310833333333331,1070.4293212890625
Lunches,XGBoost,9.426363636363636,1070.4293212890625
Lunches,XGBoost,9.541893939393939,1070.4293212890625
Lunches,XGBoost,9.657424242424241,1070.4293212890625
Lunches,XGBoost,9.772954545454544,1069.177978515625
Lunches,XGBoost,9.888484848484847,1069.177978515625
Lunches,XGBoost,10.00401515151515,1069.177978515625
Lunches,XGBoost,10.119545454545452,1069.177978515625
Lunches,XGBoost,10.235075757575757,1069.177978515625
Lunches,XGBoost,10.35060606060606,1072.5692138671875
Lunches,XGBoost,10.466136363636362,1072.5692138671875
Lunches,XGBoost,10.581666666666665,1072.5692138671875
Lunches,XGBoost,10.697196969696968,1072.5692138671875
Lunches,XGBoost,10.81272727272727,1072.5692138671875
Lunches,XGBoost,10.928257575757575,1072.5692138671875
Lunches,XGBoost,11.043787878787878,1072.5692138671875
Lunches,XGBoost,11.15931818181818,1072.5692138671875
Lunches,XGBoost,11.274848484848484,1072.5692138671875
Lunches,XGBoost,11.390378787878786,1072.5692138671875
Lunches,XGBoost,11.505909090909089,1072.5692138671875
Lunches,XGBoost,11.621439393939392,1072.5692138671875
Lunches,XGBoost,11.736969696969696,1072.5692138671875
Lunches,XGBoost,11.8525,1072.5692138671875
Afternoons,CatBoost,0.135,1251.5553711629605
Afternoons,CatBoost,0.25303030303030305,1251.5553711629605
Afternoons,CatBoost,0.3710606060606061,1251.5553711629605
Afternoons,CatBoost,0.48909090909090913,1251.5553711629605
Afternoons,CatBoost,0.6071212121212122,1267.4160270019706
Afternoons,CatBoost,0.7251515151515152,1240.9459128720723
Afternoons,CatBoost,0.8431818181818183,1260.6549499713585
Afternoons,CatBoost,0.9612121212121213,1236.667160109383
Afternoons,CatBoost,1.0792424242424243,1236.748112378088
Afternoons,CatBoost,1.1972727272727275,1235.4021979184774
Afternoons,CatBoost,1.3153030303030304,1241.5133895845136
Afternoons,CatBoost,1.4333333333333333,1243.906300101303
Afternoons,CatBoost,1.5513636363636365,1271.2955283661377
Afternoons,CatBoost,1.6693939393939397,1249.6254956603811
Afternoons,CatBoost,1.7874242424242426,1270.2317880002554
Afternoons,CatBoost,1.9054545454545455,1233.4365148137683
Afternoons,CatBoost,2.0234848484848484,1233.3252372036072
Afternoons,CatBoost,2.1415151515151516,1232.7540281573456
Afternoons,CatBoost,2.2595454545454547,1233.4860477173008
Afternoons,CatBoost,2.377575757575758,1232.741049572353
Afternoons,CatBoost,2.495606060606061,1221.3969201602297
Afternoons,CatBoost,2.613636363636364,1216.7984635136922
Afternoons,CatBoost,2.7316666666666665,1223.5029632448304
Afternoons,CatBoost,2.8496969696969696,1212.0420095733557
Afternoons,CatBoost,2.9677272727272728,1220.255046319939
Afternoons,CatBoost,3.085757575757576,1226.7543630594923
Afternoons,CatBoost,3.203787878787879,1226.818395018614
Afternoons,CatBoost,3.3218181818181822,1210.7435753086822
Afternoons,CatBoost,3.4398484848484854,1227.7546896510073
Afternoons,CatBoost,3.5578787878787885,1228.9394335653135
Afternoons,CatBoost,3.675909090909091,1217.5671626382464
Afternoons,CatBoost,3.793939393939394,1213.2279241079416
Afternoons,CatBoost,3.911969696969697,1212.358220546414
Afternoons,CatBoost,4.03,1208.059393648685
Afternoons,CatBoost,4.148030303030303,1211.5110288153085
Afternoons,CatBoost,4.2660606060606066,1225.813514215107
Afternoons,CatBoost,4.38409090909091,1229.996302468807
Afternoons,CatBoost,4.502121212121212,1227.4980525869871
Afternoons,CatBoost,4.620151515151515,1211.997202414878
Afternoons,CatBoost,4.738181818181818,1212.2287414789382
Afternoons,CatBoost,4.856212121212121,1210.924778369715
Afternoons,CatBoost,4.974242424242425,1210.5273573866657
Afternoons,CatBoost,5.092272727272728,1210.1317093670732
Afternoons,CatBoost,5.210303030303031,1212.2962109884143
Afternoons,CatBoost,5.328333333333333,1212.6256081800036
Afternoons,CatBoost,5.446363636363636,1202.9157160506697
Afternoons,CatBoost,5.5643939393939394,1202.2214793358369
Afternoons,CatBoost,5.682424242424243,1201.8307068318115
Afternoons,CatBoost,5.800454545454546,1201.001164650472
Afternoons,CatBoost,5.918484848484849,1198.7388196137806
Afternoons,CatBoost,6.036515151515152,1198.5649449220734
Afternoons,CatBoost,6.154545454545455,1198.4090386797654
Afternoons,CatBoost,6.272575757575758,1195.276062894583
Afternoons,CatBoost,6.390606060606061,1193.7705887253678
Afternoons,CatBoost,6.508636363636364,1193.503000705865
Afternoons,CatBoost,6.626666666666667,1191.6721395761138
Afternoons,CatBoost,6.74469696969697,1193.2063859454179
Afternoons,CatBoost,6.862727272727273,1191.6097155414225
Afternoons,CatBoost,6.980757575757576,1191.8301688500762
Afternoons,CatBoost,7.0987878787878795,1182.7665527289669
Afternoons,CatBoost,7.216818181818182,1182.5230610516544
Afternoons,CatBoost,7.334848484848485,1185.4224589147707
Afternoons,CatBoost,7.452878787878788,1184.1379082961716
Afternoons,CatBoost,7.570909090909091,1178.7200058384985
Afternoons,CatBoost,7.688939393939394,1178.7200058384985
Afternoons,CatBoost,7.806969696969698,1178.9418598985071
Afternoons,CatBoost,7.925000000000001,1183.9020102730144
Afternoons,CatBoost,8.043030303030305,1185.651707727849
Afternoons,CatBoost,8.161060606060607,1184.2077253174743
Afternoons,CatBoost,8.27909090909091,1183.2919262710614
Afternoons,CatBoost,8.397121212121213,1183.2919262710614
Afternoons,CatBoost,8.515151515151516,1183.4693597664789
Afternoons,CatBoost,8.63318181818182,1183.4693597664789
Afternoons,CatBoost,8.751212121212122,1183.4693597664789
Afternoons,CatBoost,8.869242424242424,1183.4693597664789
Afternoons,CatBoost,8.987272727272728,1177.6806154176259
Afternoons,CatBoost,9.10530303030303,1177.6806154176259
Afternoons,CatBoost,9.223333333333334,1187.7982123503325
Afternoons,CatBoost,9.341363636363637,1188.2251256440463
Afternoons,CatBoost,9.45939393939394,1188.2251256440463
Afternoons,CatBoost,9.577424242424243,1188.2251256440463
Afternoons,CatBoost,9.695454545454545,1189.101522173144
Afternoons,CatBoost,9.81348484848485,1189.101522173144
Afternoons,CatBoost,9.931515151515152,1186.0433156755178
Afternoons,CatBoost,10.049545454545456,1186.0433156755178
Afternoons,CatBoost,10.167575757575758,1186.0433156755178
Afternoons,CatBoost,10.285606060606062,1186.0433156755178
Afternoons,CatBoost,10.403636363636364,1186.0433156755178
Afternoons,CatBoost,10.521666666666667,1186.0433156755178
Afternoons,CatBoost,10.63969696969697,1186.0433156755178
Afternoons,CatBoost,10.757727272727273,1186.0433156755178
Afternoons,CatBoost,10.875757575757577,1186.0433156755178
Afternoons,CatBoost,10.993787878787879,1186.0433156755178
Afternoons,CatBoost,11.111818181818183,1186.0433156755178
Afternoons,CatBoost,11.229848484848485,1186.0433156755178
Afternoons,CatBoost,11.34787878787879,1186.0433156755178
Afternoons,CatBoost,11.465909090909092,1186.0433156755178
Afternoons,CatBoost,11.583939393939394,1186.0433156755178
Afternoons,CatBoost,11.701969696969698,1186.0433156755178
Afternoons,CatBoost,11.82,1186.0433156755178
Afternoons,LightGBM,0.135,1257.0182745325258
Afternoons,LightGBM,0.25303030303030305,1257.0182745325258
Afternoons,LightGBM,0.3710606060606061,1257.0182745325258
Afternoons,LightGBM,0.48909090909090913,1257.0182745325258
Afternoons,LightGBM,0.6071212121212122,1256.8220721065568
Afternoons,LightGBM,0.7251515151515152,1255.115741527869
Afternoons,LightGBM,0.8431818181818183,1258.451558308875
Afternoons,LightGBM,0.9612121212121213,1245.785329971396
Afternoons,LightGBM,1.0792424242424243,1238.8463850789165
Afternoons,LightGBM,1.1972727272727275,1233.2722892487625
Afternoons,LightGBM,1.3153030303030304,1249.4486301488514
Afternoons,LightGBM,1.4333333333333333,1246.5826468669889
Afternoons,LightGBM,1.5513636363636365,1257.0033684902287
Afternoons,LightGBM,1.6693939393939397,1257.2833881844217
Afternoons,LightGBM,1.7874242424242426,1264.5701194978321
Afternoons,LightGBM,1.9054545454545455,1227.0934566606759
Afternoons,LightGBM,2.0234848484848484,1236.512057659103
Afternoons,LightGBM,2.1415151515151516,1235.7580449562827
Afternoons,LightGBM,2.2595454545454547,1234.3175848555388
Afternoons,LightGBM,2.377575757575758,1231.0049509613639
Afternoons,LightGBM,2.495606060606061,1227.7603744486437
Afternoons,LightGBM,2.613636363636364,1226.9878586568834
Afternoons,LightGBM,2.7316666666666665,1226.4178821667049
Afternoons,LightGBM,2.8496969696969696,1225.6992968925476
Afternoons,LightGBM,2.9677272727272728,1227.1521704960626
Afternoons,LightGBM,3.085757575757576,1229.754678656767
Afternoons,LightGBM,3.203787878787879,1227.5341580086726
Afternoons,LightGBM,3.3218181818181822,1227.0192830443957
Afternoons,LightGBM,3.4398484848484854,1227.9973103730654
Afternoons,LightGBM,3.5578787878787885,1227.9911551711216
Afternoons,LightGBM,3.675909090909091,1218.7891429569713
Afternoons,LightGBM,3.793939393939394,1213.174643868965
Afternoons,LightGBM,3.911969696969697,1210.7282082166307
Afternoons,LightGBM,4.03,1212.224292578416
Afternoons,LightGBM,4.148030303030303,1209.6679319299824
Afternoons,LightGBM,4.2660606060606066,1216.670383256634
Afternoons,LightGBM,4.38409090909091,1215.6467450792718
Afternoons,LightGBM,4.502121212121212,1214.2875651688134
Afternoons,LightGBM,4.620151515151515,1207.1100362010861
Afternoons,LightGBM,4.738181818181818,1204.8361687655624
Afternoons,LightGBM,4.856212121212121,1205.3476330661674
Afternoons,LightGBM,4.974242424242425,1206.1291658519951
Afternoons,LightGBM,5.092272727272728,1204.0543077147136
Afternoons,LightGBM,5.210303030303031,1205.3117525573527
Afternoons,LightGBM,5.328333333333333,1240.0863862200317
Afternoons,LightGBM,5.446363636363636,1198.8536055432137
Afternoons,LightGBM,5.5643939393939394,1189.5082889819485
Afternoons,LightGBM,5.682424242424243,1192.0207446268248
