Dataset,Model,5 Edge length avg,Predicted Value
Lunches,XGBoost,31.621212684116713,1089.197021484375
Lunches,XGBoost,31.87444991712794,1091.54296875
Lunches,XGBoost,32.12768715013917,1091.54296875
Lunches,XGBoost,32.38092438315039,1091.54296875
Lunches,XGBoost,32.63416161616162,1091.54296875
Lunches,XGBoost,32.88739884917285,1091.54296875
Lunches,XGBoost,33.14063608218407,1091.54296875
Lunches,XGBoost,33.3938733151953,1091.54296875
Lunches,XGBoost,33.64711054820653,1091.54296875
Lunches,XGBoost,33.900347781217754,1091.54296875
Lunches,XGBoost,34.15358501422898,1091.54296875
Lunches,XGBoost,34.40682224724021,1091.54296875
Lunches,XGBoost,34.660059480251434,1091.54296875
Lunches,XGBoost,34.91329671326266,1091.54296875
Lunches,XGBoost,35.16653394627389,1091.54296875
Lunches,XGBoost,35.419771179285114,1091.54296875
Lunches,XGBoost,35.67300841229634,1091.54296875
Lunches,XGBoost,35.92624564530756,1091.54296875
Lunches,XGBoost,36.179482878318794,1091.54296875
Lunches,XGBoost,36.43272011133001,1091.54296875
Lunches,XGBoost,36.68595734434125,1091.54296875
Lunches,XGBoost,36.93919457735247,1091.54296875
Lunches,XGBoost,37.1924318103637,1091.54296875
Lunches,XGBoost,37.44566904337492,1091.54296875
Lunches,XGBoost,37.698906276386154,1091.54296875
Lunches,XGBoost,37.952143509397374,1091.54296875
Lunches,XGBoost,38.20538074240861,1091.54296875
Lunches,XGBoost,38.45861797541983,1091.54296875
Lunches,XGBoost,38.71185520843106,1091.54296875
Lunches,XGBoost,38.96509244144228,1091.54296875
Lunches,XGBoost,39.218329674453514,1091.54296875
Lunches,XGBoost,39.471566907464734,1091.54296875
Lunches,XGBoost,39.72480414047596,1091.54296875
Lunches,XGBoost,39.97804137348719,1091.54296875
Lunches,XGBoost,40.231278606498414,1091.54296875
Lunches,XGBoost,40.48451583950964,1091.54296875
Lunches,XGBoost,40.73775307252087,1091.54296875
Lunches,XGBoost,40.990990305532094,1091.54296875
Lunches,XGBoost,41.24422753854332,1091.54296875
Lunches,XGBoost,41.49746477155455,1091.54296875
Lunches,XGBoost,41.750702004565774,1091.54296875
Lunches,XGBoost,42.003939237577,1091.54296875
Lunches,XGBoost,42.25717647058823,1091.54296875
Afternoons,CatBoost,17.186690402476806,1237.460249609126
Afternoons,CatBoost,17.439927635488033,1237.460249609126
Afternoons,CatBoost,17.69316486849926,1237.460249609126
Afternoons,CatBoost,17.946402101510486,1237.460249609126
Afternoons,CatBoost,18.199639334521713,1237.460249609126
Afternoons,CatBoost,18.45287656753294,1237.9355674128392
Afternoons,CatBoost,18.706113800544166,1237.9355674128392
Afternoons,CatBoost,18.959351033555393,1237.9355674128392
Afternoons,CatBoost,19.21258826656662,1232.8558677304115
Afternoons,CatBoost,19.465825499577846,1232.8558677304115
Afternoons,CatBoost,19.71906273258907,1232.8558677304115
Afternoons,CatBoost,19.972299965600296,1232.8558677304115
Afternoons,CatBoost,20.225537198611523,1231.5165301868874
Afternoons,CatBoost,20.47877443162275,1231.5165301868874
Afternoons,CatBoost,20.732011664633976,1231.5165301868874
Afternoons,CatBoost,20.985248897645203,1231.5165301868874
Afternoons,CatBoost,21.23848613065643,1231.5165301868874
Afternoons,CatBoost,21.491723363667656,1231.5165301868874
Afternoons,CatBoost,21.744960596678883,1231.5165301868874
Afternoons,CatBoost,21.99819782969011,1231.5165301868874
Afternoons,CatBoost,22.251435062701336,1231.5165301868874
Afternoons,CatBoost,22.504672295712563,1231.5165301868874
Afternoons,CatBoost,22.757909528723786,1231.5165301868874
Afternoons,CatBoost,23.011146761735013,1231.5165301868874
Afternoons,CatBoost,23.26438399474624,1216.3144813821884
Afternoons,CatBoost,23.517621227757466,1215.5992408254217
Afternoons,CatBoost,23.770858460768693,1212.005702591251
Afternoons,CatBoost,24.02409569377992,1208.0265094387428
Afternoons,CatBoost,24.277332926791146,1207.0710315140325
Afternoons,CatBoost,24.530570159802373,1207.0710315140325
Afternoons,CatBoost,24.7838073928136,1196.9718067732185
Afternoons,CatBoost,25.037044625824826,1195.3544276121393
Afternoons,CatBoost,25.290281858836053,1195.3544276121393
Afternoons,CatBoost,25.54351909184728,1195.3544276121393
Afternoons,CatBoost,25.796756324858507,1195.3544276121393
Afternoons,CatBoost,26.049993557869733,1197.7618379711785
Afternoons,CatBoost,26.30323079088096,1197.7618379711785
Afternoons,CatBoost,26.556468023892187,1194.2059819799501
Afternoons,CatBoost,26.809705256903413,1194.2059819799501
Afternoons,CatBoost,27.06294248991464,1194.2059819799501
Afternoons,CatBoost,27.316179722925867,1194.2059819799501
Afternoons,CatBoost,27.569416955937093,1194.2059819799501
Afternoons,CatBoost,27.82265418894832,1194.2059819799501
Afternoons,CatBoost,28.075891421959547,1194.2059819799501
Afternoons,CatBoost,28.32912865497077,1194.2059819799501
