Dataset,Model,5 Building use diversity,Predicted Value
All,XGBoost,0.113251060289027,558.76904296875
All,XGBoost,0.11523792099585203,558.76904296875
All,XGBoost,0.11722478170267707,558.76904296875
All,XGBoost,0.1192116424095021,558.76904296875
All,XGBoost,0.12119850311632714,558.76904296875
All,XGBoost,0.12318536382315218,558.76904296875
All,XGBoost,0.12517222452997723,558.76904296875
All,XGBoost,0.12715908523680225,558.76904296875
All,XGBoost,0.12914594594362727,558.76904296875
All,XGBoost,0.13113280665045232,558.76904296875
All,XGBoost,0.13311966735727734,558.76904296875
All,XGBoost,0.1351065280641024,558.773681640625
All,XGBoost,0.13709338877092742,559.1767578125
All,XGBoost,0.13908024947775247,559.1767578125
All,XGBoost,0.1410671101845775,559.1767578125
All,XGBoost,0.14305397089140254,559.1767578125
All,XGBoost,0.14504083159822756,559.1767578125
All,XGBoost,0.1470276923050526,559.1767578125
All,XGBoost,0.14901455301187763,559.1767578125
All,XGBoost,0.15100141371870268,559.1767578125
All,XGBoost,0.1529882744255277,559.1767578125
All,XGBoost,0.15497513513235275,559.1767578125
All,XGBoost,0.15696199583917778,559.1767578125
All,XGBoost,0.15894885654600283,563.0176391601562
All,XGBoost,0.16093571725282785,568.6270751953125
All,XGBoost,0.16292257795965287,568.6270751953125
All,XGBoost,0.16490943866647792,568.6270751953125
All,XGBoost,0.16689629937330294,574.7772216796875
All,XGBoost,0.168883160080128,574.7772216796875
All,XGBoost,0.17087002078695301,574.7772216796875
All,XGBoost,0.17285688149377806,574.7772216796875
All,XGBoost,0.1748437422006031,574.7772216796875
All,XGBoost,0.17683060290742814,574.7772216796875
All,XGBoost,0.17881746361425316,574.7772216796875
All,XGBoost,0.1808043243210782,574.7772216796875
All,XGBoost,0.18279118502790323,574.7772216796875
All,XGBoost,0.18477804573472828,574.7772216796875
All,XGBoost,0.1867649064415533,571.1185302734375
All,XGBoost,0.18875176714837835,571.1185302734375
All,XGBoost,0.19073862785520337,571.0850830078125
All,XGBoost,0.1927254885620284,571.0850830078125
All,XGBoost,0.19471234926885345,571.0850830078125
All,XGBoost,0.1966992099756785,571.0850830078125
Mornings,CatBoost,0.0,876.512042526869
Mornings,CatBoost,0.001986860706825035,875.6147833401598
Mornings,CatBoost,0.00397372141365007,851.1889526916559
Mornings,CatBoost,0.0059605821204751054,851.311663207701
Mornings,CatBoost,0.00794744282730014,851.1854099746962
Mornings,CatBoost,0.009934303534125177,846.5538050561287
Mornings,CatBoost,0.011921164240950211,846.4219284536969
Mornings,CatBoost,0.013908024947775245,839.7521941401329
Mornings,CatBoost,0.01589488565460028,786.967473104584
Mornings,CatBoost,0.017881746361425317,533.5789063842922
Mornings,CatBoost,0.019868607068250353,525.5209195847888
Mornings,CatBoost,0.021855467775075386,511.044930507464
Mornings,CatBoost,0.023842328481900422,511.5861802195209
Mornings,CatBoost,0.025829189188725458,511.5861802195209
Mornings,CatBoost,0.02781604989555049,511.5861802195209
Mornings,CatBoost,0.029802910602375526,511.5861802195209
Mornings,CatBoost,0.03178977130920056,511.5861802195209
Mornings,CatBoost,0.0337766320160256,511.5861802195209
Mornings,CatBoost,0.035763492722850634,511.5861802195209
Mornings,CatBoost,0.03775035342967567,511.5861802195209
Mornings,CatBoost,0.039737214136500706,511.5861802195209
Mornings,CatBoost,0.041724074843325736,511.5861802195209
Mornings,CatBoost,0.04371093555015077,511.5861802195209
Mornings,CatBoost,0.04569779625697581,511.5861802195209
Mornings,CatBoost,0.047684656963800844,511.5861802195209
Mornings,CatBoost,0.04967151767062588,511.5861802195209
Mornings,CatBoost,0.051658378377450916,511.5861802195209
Mornings,CatBoost,0.05364523908427595,511.5861802195209
Mornings,CatBoost,0.05563209979110098,511.5861802195209
Mornings,CatBoost,0.05761896049792602,511.5861802195209
Mornings,CatBoost,0.05960582120475105,511.5861802195209
Mornings,CatBoost,0.06159268191157609,511.5861802195209
Mornings,CatBoost,0.06357954261840112,511.5861802195209
Mornings,CatBoost,0.06556640332522616,511.5861802195209
Mornings,CatBoost,0.0675532640320512,511.5861802195209
Mornings,CatBoost,0.06954012473887623,511.5861802195209
Mornings,CatBoost,0.07152698544570127,511.5861802195209
Mornings,CatBoost,0.0735138461525263,511.5861802195209
Mornings,CatBoost,0.07550070685935134,511.5861802195209
Mornings,CatBoost,0.07748756756617638,511.5861802195209
Mornings,CatBoost,0.07947442827300141,511.5861802195209
Mornings,CatBoost,0.08146128897982644,511.5861802195209
Mornings,CatBoost,0.08344814968665147,511.5861802195209
Mornings,CatBoost,0.08543501039347651,511.5861802195209
Mornings,CatBoost,0.08742187110030154,511.37396758134236
Mornings,CatBoost,0.08940873180712658,511.37396758134236
Mornings,CatBoost,0.09139559251395162,509.8297792377827
Mornings,CatBoost,0.09338245322077665,508.77542901484674
Mornings,CatBoost,0.09536931392760169,508.77542901484674
Mornings,CatBoost,0.09735617463442672,508.77542901484674
Mornings,CatBoost,0.09934303534125176,508.77542901484674
Mornings,CatBoost,0.1013298960480768,508.77542901484674
Mornings,CatBoost,0.10331675675490183,508.77542901484674
Mornings,CatBoost,0.10530361746172687,508.77542901484674
Mornings,CatBoost,0.1072904781685519,508.77542901484674
Mornings,CatBoost,0.10927733887537694,508.77542901484674
Mornings,CatBoost,0.11126419958220196,508.77542901484674
Mornings,CatBoost,0.113251060289027,508.77542901484674
Mornings,CatBoost,0.11523792099585203,508.77542901484674
Mornings,CatBoost,0.11722478170267707,508.77542901484674
Mornings,CatBoost,0.1192116424095021,508.77542901484674
Mornings,CatBoost,0.12119850311632714,508.77542901484674
Mornings,CatBoost,0.12318536382315218,508.77542901484674
Mornings,CatBoost,0.12517222452997723,508.77542901484674
Mornings,CatBoost,0.12715908523680225,508.77542901484674
Mornings,CatBoost,0.12914594594362727,508.77542901484674
Mornings,CatBoost,0.13113280665045232,508.77542901484674
Mornings,CatBoost,0.13311966735727734,508.77542901484674
Mornings,CatBoost,0.1351065280641024,508.77542901484674
