Dataset,Model,Hour,Predicted Value
All,CatBoost,13.707070707070708,1045.222683086055
All,CatBoost,13.93939393939394,1045.222683086055
All,CatBoost,14.171717171717171,1045.222683086055
All,CatBoost,14.404040404040403,1045.222683086055
All,CatBoost,14.636363636363637,1041.9720801514022
All,CatBoost,14.868686868686869,1041.9720801514022
All,CatBoost,15.1010101010101,1041.9720801514022
All,CatBoost,15.333333333333334,1041.9720801514022
All,CatBoost,15.565656565656566,1129.1552722828096
All,CatBoost,15.797979797979798,1129.1552722828096
All,CatBoost,16.03030303030303,1129.1552722828096
All,CatBoost,16.262626262626263,1129.1552722828096
All,CatBoost,16.494949494949495,1129.1552722828096
All,CatBoost,16.727272727272727,1334.543452241831
All,CatBoost,16.95959595959596,1334.543452241831
All,CatBoost,17.19191919191919,1334.543452241831
All,CatBoost,17.424242424242426,1334.543452241831
All,CatBoost,17.656565656565657,1017.5459163661953
All,CatBoost,17.88888888888889,1017.5459163661953
All,CatBoost,18.12121212121212,1017.5459163661953
All,CatBoost,18.353535353535353,1017.5459163661953
All,CatBoost,18.585858585858585,739.558192139742
All,CatBoost,18.818181818181817,739.558192139742
All,CatBoost,19.050505050505052,739.558192139742
All,CatBoost,19.282828282828284,739.558192139742
All,CatBoost,19.515151515151516,590.4970814657834
All,CatBoost,19.747474747474747,590.4970814657834
All,CatBoost,19.97979797979798,590.4970814657834
All,CatBoost,20.21212121212121,590.4970814657834
All,CatBoost,20.444444444444443,590.4970814657834
All,CatBoost,20.67676767676768,508.7966884478301
All,CatBoost,20.90909090909091,508.7966884478301
All,CatBoost,21.141414141414142,508.7966884478301
All,CatBoost,21.373737373737374,508.7966884478301
All,CatBoost,21.606060606060606,398.531140662134
All,CatBoost,21.838383838383837,398.531140662134
All,CatBoost,22.07070707070707,398.531140662134
All,CatBoost,22.303030303030305,398.531140662134
All,CatBoost,22.535353535353536,259.34138139111843
All,CatBoost,22.767676767676768,259.34138139111843
All,CatBoost,23.0,259.34138139111843
All,LightGBM,0.0,139.0181956333071
All,LightGBM,0.23232323232323232,82.26493019277994
All,LightGBM,0.46464646464646464,82.26493019277994
All,LightGBM,0.696969696969697,82.26493019277994
All,LightGBM,0.9292929292929293,82.26493019277994
All,LightGBM,1.1616161616161615,82.26493019277994
All,LightGBM,1.393939393939394,82.26493019277994
All,LightGBM,1.6262626262626263,52.50486661748009
All,LightGBM,1.8585858585858586,52.50486661748009
All,LightGBM,2.090909090909091,52.50486661748009
All,LightGBM,2.323232323232323,52.50486661748009
All,LightGBM,2.5555555555555554,44.164476325659706
All,LightGBM,2.787878787878788,44.164476325659706
All,LightGBM,3.0202020202020203,44.164476325659706
All,LightGBM,3.2525252525252526,44.164476325659706
All,LightGBM,3.484848484848485,44.164476325659706
All,LightGBM,3.717171717171717,38.173529415857864
All,LightGBM,3.9494949494949494,38.173529415857864
All,LightGBM,4.181818181818182,38.173529415857864
All,LightGBM,4.414141414141414,38.173529415857864
All,LightGBM,4.646464646464646,49.65159387888175
All,LightGBM,4.878787878787879,49.65159387888175
All,LightGBM,5.111111111111111,49.65159387888175
All,LightGBM,5.343434343434343,49.65159387888175
All,LightGBM,5.575757575757576,135.5916757680463
All,LightGBM,5.808080808080808,135.5916757680463
All,LightGBM,6.040404040404041,135.5916757680463
All,LightGBM,6.2727272727272725,135.5916757680463
All,LightGBM,6.505050505050505,371.69266034642214
All,LightGBM,6.737373737373737,371.69266034642214
All,LightGBM,6.96969696969697,371.69266034642214
All,LightGBM,7.2020202020202015,371.69266034642214
All,LightGBM,7.434343434343434,371.69266034642214
All,LightGBM,7.666666666666667,762.7988040080817
All,LightGBM,7.898989898989899,762.7988040080817
All,LightGBM,8.131313131313131,762.7988040080817
All,LightGBM,8.363636363636363,762.7988040080817
All,LightGBM,8.595959595959595,604.308334967323
All,LightGBM,8.828282828282829,604.308334967323
All,LightGBM,9.06060606060606,604.308334967323
All,LightGBM,9.292929292929292,604.308334967323
All,LightGBM,9.525252525252526,634.7372777136083
All,LightGBM,9.757575757575758,634.7372777136083
All,LightGBM,9.98989898989899,634.7372777136083
All,LightGBM,10.222222222222221,634.7372777136083
All,LightGBM,10.454545454545455,634.7372777136083
All,LightGBM,10.686868686868687,779.5325181792028
All,LightGBM,10.919191919191919,779.5325181792028
All,LightGBM,11.151515151515152,779.5325181792028
All,LightGBM,11.383838383838384,779.5325181792028
All,LightGBM,11.616161616161616,1185.2785726752406
All,LightGBM,11.848484848484848,1185.2785726752406
All,LightGBM,12.080808080808081,1185.2785726752406
All,LightGBM,12.313131313131313,1185.2785726752406
All,LightGBM,12.545454545454545,1236.0437717111986
All,LightGBM,12.777777777777777,1236.0437717111986
All,LightGBM,13.01010101010101,1236.0437717111986
All,LightGBM,13.242424242424242,1236.0437717111986
All,LightGBM,13.474747474747474,1236.0437717111986
All,LightGBM,13.707070707070708,1058.8411911701628
All,LightGBM,13.93939393939394,1058.8411911701628
All,LightGBM,14.171717171717171,1058.8411911701628
All,LightGBM,14.404040404040403,1058.8411911701628
All,LightGBM,14.636363636363637,1057.3570327566224
All,LightGBM,14.868686868686869,1057.3570327566224
All,LightGBM,15.1010101010101,1057.3570327566224
All,LightGBM,15.333333333333334,1057.3570327566224
All,LightGBM,15.565656565656566,1144.6509725735727
All,LightGBM,15.797979797979798,1144.6509725735727
All,LightGBM,16.03030303030303,1144.6509725735727
All,LightGBM,16.262626262626263,1144.6509725735727
All,LightGBM,16.494949494949495,1144.6509725735727
All,LightGBM,16.727272727272727,1336.7740587166281
All,LightGBM,16.95959595959596,1336.7740587166281
All,LightGBM,17.19191919191919,1336.7740587166281
All,LightGBM,17.424242424242426,1336.7740587166281
All,LightGBM,17.656565656565657,1027.1516364166685
All,LightGBM,17.88888888888889,1027.1516364166685
All,LightGBM,18.12121212121212,1027.1516364166685
All,LightGBM,18.353535353535353,1027.1516364166685
All,LightGBM,18.585858585858585,731.3706009024137
All,LightGBM,18.818181818181817,731.3706009024137
All,LightGBM,19.050505050505052,731.3706009024137
All,LightGBM,19.282828282828284,731.3706009024137
All,LightGBM,19.515151515151516,579.6190612109722
All,LightGBM,19.747474747474747,579.6190612109722
All,LightGBM,19.97979797979798,579.6190612109722
All,LightGBM,20.21212121212121,579.6190612109722
All,LightGBM,20.444444444444443,579.6190612109722
All,LightGBM,20.67676767676768,494.3259982140749
All,LightGBM,20.90909090909091,494.3259982140749
All,LightGBM,21.141414141414142,494.3259982140749
All,LightGBM,21.373737373737374,494.3259982140749
