Dataset,Model,Building count,Predicted Value
Lunches,CatBoost,40.78787878787879,1097.4246906336539
Lunches,CatBoost,41.666666666666664,1097.4246906336539
Lunches,CatBoost,42.54545454545455,1096.0797663162243
Lunches,CatBoost,43.42424242424242,1096.0797663162243
Lunches,CatBoost,44.303030303030305,1096.0797663162243
Lunches,CatBoost,45.18181818181818,1096.0797663162243
Lunches,CatBoost,46.06060606060606,1096.0797663162243
Lunches,CatBoost,46.93939393939394,1096.0797663162243
Lunches,CatBoost,47.81818181818182,1096.0797663162243
Lunches,CatBoost,48.696969696969695,1096.0797663162243
Lunches,CatBoost,49.57575757575758,1096.0797663162243
Lunches,CatBoost,50.45454545454545,1096.0797663162243
Lunches,CatBoost,51.333333333333336,1096.0797663162243
Lunches,CatBoost,52.21212121212121,1096.0797663162243
Lunches,CatBoost,53.09090909090909,1096.0797663162243
Lunches,CatBoost,53.96969696969697,1096.0797663162243
Lunches,CatBoost,54.84848484848485,1096.0797663162243
Lunches,CatBoost,55.72727272727273,1096.0797663162243
Lunches,CatBoost,56.60606060606061,1096.0797663162243
Lunches,CatBoost,57.484848484848484,1096.0797663162243
Lunches,CatBoost,58.36363636363637,1096.0797663162243
Lunches,CatBoost,59.24242424242424,1096.0797663162243
Lunches,CatBoost,60.12121212121212,1096.0797663162243
Lunches,CatBoost,61.0,1096.0797663162243
Lunches,CatBoost,61.878787878787875,1096.0797663162243
Lunches,CatBoost,62.75757575757576,1096.0797663162243
Lunches,CatBoost,63.63636363636363,1096.0797663162243
Lunches,CatBoost,64.51515151515152,1096.0797663162243
Lunches,CatBoost,65.39393939393939,1096.0797663162243
Lunches,CatBoost,66.27272727272728,1096.0797663162243
Lunches,CatBoost,67.15151515151516,1096.0797663162243
Lunches,CatBoost,68.03030303030303,1096.0797663162243
Lunches,CatBoost,68.9090909090909,1096.0797663162243
Lunches,CatBoost,69.78787878787878,1096.0797663162243
Lunches,CatBoost,70.66666666666667,1096.0797663162243
Lunches,CatBoost,71.54545454545455,1096.0797663162243
Lunches,CatBoost,72.42424242424242,1096.0797663162243
Lunches,CatBoost,73.3030303030303,1096.0797663162243
Lunches,CatBoost,74.18181818181819,1096.0797663162243
Lunches,CatBoost,75.06060606060606,1096.0797663162243
Lunches,CatBoost,75.93939393939394,1096.0797663162243
