Dataset,Model,15 Job count,Predicted Value
Mornings,XGBoost,86803.21212121211,1080.0811767578125
Mornings,XGBoost,89433.26262626261,1080.0811767578125
Mornings,XGBoost,92063.31313131313,1080.0811767578125
Mornings,XGBoost,94693.36363636363,1080.0811767578125
Mornings,XGBoost,97323.41414141413,1080.84619140625
Mornings,XGBoost,99953.46464646464,1080.84619140625
Mornings,XGBoost,102583.51515151515,1080.9033203125
Mornings,XGBoost,105213.56565656565,1080.9815673828125
Mornings,XGBoost,107843.61616161616,1080.9815673828125
Mornings,XGBoost,110473.66666666666,1081.5018310546875
Mornings,XGBoost,113103.71717171716,897.2724609375
Mornings,XGBoost,115733.76767676767,897.7982177734375
Mornings,XGBoost,118363.81818181818,740.4556884765625
Mornings,XGBoost,120993.86868686868,740.4556884765625
Mornings,XGBoost,123623.91919191918,740.4556884765625
Mornings,XGBoost,126253.9696969697,740.4556884765625
Mornings,XGBoost,128884.0202020202,740.4556884765625
Mornings,XGBoost,131514.0707070707,740.4556884765625
Mornings,XGBoost,134144.12121212122,740.4556884765625
Mornings,XGBoost,136774.1717171717,740.4556884765625
Mornings,XGBoost,139404.22222222222,743.7005004882812
Mornings,XGBoost,142034.2727272727,744.40966796875
Mornings,XGBoost,144664.32323232322,744.727294921875
