Dataset,Model,15 Job count,Predicted Value
All,LightGBM,76283.01010101009,506.8432793036445
All,LightGBM,78913.06060606061,506.60286879785406
All,LightGBM,81543.11111111111,506.60286879785406
All,LightGBM,84173.16161616161,504.29991009295986
All,LightGBM,86803.21212121211,504.29991009295986
All,LightGBM,89433.26262626261,504.25965445719305
All,LightGBM,92063.31313131313,504.25965445719305
All,LightGBM,94693.36363636363,504.25965445719305
All,LightGBM,97323.41414141413,504.25965445719305
All,LightGBM,99953.46464646464,504.25965445719305
All,LightGBM,102583.51515151515,504.25965445719305
All,LightGBM,105213.56565656565,503.8477976932953
All,LightGBM,107843.61616161616,491.07308502858797
All,LightGBM,110473.66666666666,492.41964274018073
All,LightGBM,113103.71717171716,492.41964274018073
All,LightGBM,115733.76767676767,483.2490443229114
All,LightGBM,118363.81818181818,486.177707909627
All,LightGBM,120993.86868686868,486.2239323231222
All,LightGBM,123623.91919191918,486.2239323231222
All,LightGBM,126253.9696969697,486.2239323231222
All,LightGBM,128884.0202020202,505.21957820429674
All,LightGBM,131514.0707070707,505.21957820429674
All,LightGBM,134144.12121212122,505.21957820429674
All,LightGBM,136774.1717171717,505.21957820429674
All,LightGBM,139404.22222222222,555.3041917782201
All,LightGBM,142034.2727272727,555.3041917782201
All,LightGBM,144664.32323232322,554.5804846082295
All,LightGBM,147294.37373737374,555.6665285779678
All,LightGBM,149924.42424242423,555.6972630480794
All,LightGBM,152554.47474747474,557.3243228504826
All,LightGBM,155184.52525252523,557.2929788297197
All,LightGBM,157814.57575757575,557.2929788297197
All,LightGBM,160444.62626262626,557.0785013408992
All,LightGBM,163074.67676767675,557.111258631997
All,LightGBM,165704.72727272726,557.4957527940846
All,LightGBM,168334.77777777778,557.5208087663785
All,LightGBM,170964.82828282827,558.6322447131975
All,LightGBM,173594.87878787878,558.4825242149582
All,LightGBM,176224.92929292927,558.5476860075299
All,LightGBM,178854.9797979798,558.1317861554505
All,LightGBM,181485.0303030303,558.0995828321727
All,LightGBM,184115.0808080808,558.2649217489574
All,LightGBM,186745.1313131313,558.3138783827427
All,LightGBM,189375.1818181818,629.2508229974086
