Dataset,Model,15 Intersection density,Predicted Value
Afternoons,LightGBM,0.0011460511621430546,1179.6922181768705
Afternoons,LightGBM,0.0011584026411387202,1179.6922181768705
Afternoons,LightGBM,0.001170754120134386,1179.5977070158976
Afternoons,LightGBM,0.0011831055991300514,1179.5977070158976
Afternoons,LightGBM,0.0011954570781257173,1179.5977070158976
Afternoons,LightGBM,0.0012078085571213828,1179.5808981285377
Afternoons,LightGBM,0.0012201600361170485,1179.5808981285377
Afternoons,LightGBM,0.0012325115151127141,1179.3155778127707
Afternoons,LightGBM,0.0012448629941083798,1179.3155778127707
Afternoons,LightGBM,0.0012572144731040455,1179.3155778127707
Afternoons,LightGBM,0.001269565952099711,1179.3155778127707
Afternoons,LightGBM,0.0012819174310953769,1181.8390323780359
Afternoons,LightGBM,0.0012942689100910424,1181.8940127834355
Afternoons,LightGBM,0.0013066203890867083,1181.8940127834355
Afternoons,LightGBM,0.0013189718680823737,1172.588765423238
Afternoons,LightGBM,0.0013313233470780394,1172.5534938505693
Afternoons,LightGBM,0.001343674826073705,1172.4972850826564
Afternoons,LightGBM,0.0013560263050693708,1172.5772934515487
Afternoons,LightGBM,0.0013683777840650365,1173.000494669439
Afternoons,LightGBM,0.001380729263060702,1173.000494669439
Afternoons,LightGBM,0.0013930807420563678,1173.000494669439
Afternoons,LightGBM,0.0014054322210520333,1173.000494669439
Afternoons,LightGBM,0.001417783700047699,1173.000494669439
Afternoons,LightGBM,0.0014301351790433647,1173.000494669439
Afternoons,LightGBM,0.0014424866580390304,1173.000494669439
Afternoons,LightGBM,0.001454838137034696,1173.000494669439
Afternoons,LightGBM,0.0014671896160303615,1173.000494669439
Afternoons,LightGBM,0.0014795410950260274,1173.000494669439
Afternoons,LightGBM,0.001491892574021693,1173.000494669439
Afternoons,LightGBM,0.0015042440530173586,1173.000494669439
Afternoons,LightGBM,0.0015165955320130243,1173.000494669439
Afternoons,LightGBM,0.00152894701100869,1173.000494669439
Afternoons,LightGBM,0.0015412984900043556,1173.000494669439
Afternoons,LightGBM,0.0015536499690000211,1173.000494669439
Afternoons,LightGBM,0.001566001447995687,1173.000494669439
Afternoons,LightGBM,0.0015783529269913525,1173.000494669439
Afternoons,LightGBM,0.0015907044059870182,1173.000494669439
Afternoons,LightGBM,0.0016030558849826839,1173.000494669439
Afternoons,LightGBM,0.0016154073639783495,1173.000494669439
Afternoons,LightGBM,0.0016277588429740152,1173.000494669439
Afternoons,LightGBM,0.001640110321969681,1173.000494669439
Afternoons,LightGBM,0.0016524618009653466,1173.000494669439
Afternoons,LightGBM,0.001664813279961012,1173.000494669439
Afternoons,LightGBM,0.0016771647589566778,1173.000494669439
Afternoons,LightGBM,0.0016895162379523434,1173.000494669439
Afternoons,LightGBM,0.0017018677169480091,1173.000494669439
Afternoons,LightGBM,0.0017142191959436748,1173.000494669439
Afternoons,LightGBM,0.0017265706749393405,1172.4149202663366
Afternoons,LightGBM,0.0017389221539350062,1172.4149202663366
Afternoons,LightGBM,0.0017512736329306719,1172.4149202663366
Afternoons,LightGBM,0.0017636251119263373,1172.4149202663366
Afternoons,LightGBM,0.001775976590922003,1172.4149202663366
Afternoons,LightGBM,0.0017883280699176687,1172.4149202663366
Afternoons,LightGBM,0.0018006795489133344,1172.4149202663366
Afternoons,LightGBM,0.001813031027909,1172.4149202663366
Afternoons,XGBoost,0.0005902346073381,1425.61962890625
Afternoons,XGBoost,0.0006025860863337657,1425.61962890625
Afternoons,XGBoost,0.0006149375653294312,1425.61962890625
Afternoons,XGBoost,0.0006272890443250969,1425.61962890625
Afternoons,XGBoost,0.0006396405233207626,1425.61962890625
Afternoons,XGBoost,0.0006519920023164283,1425.61962890625
Afternoons,XGBoost,0.0006643434813120939,1425.61962890625
Afternoons,XGBoost,0.0006766949603077596,1425.61962890625
Afternoons,XGBoost,0.0006890464393034253,1425.61962890625
