Dataset,Model,Visual complexity mean,Predicted Value
Evenings,XGBoost,1.872334982553495,499.9519348144531
Evenings,XGBoost,1.878251726116369,499.9519348144531
Evenings,XGBoost,1.8841684696792427,505.08636474609375
Evenings,XGBoost,1.8900852132421164,505.08636474609375
Evenings,XGBoost,1.8960019568049904,505.08636474609375
Evenings,XGBoost,1.9019187003678641,505.08636474609375
Evenings,XGBoost,1.907835443930738,505.08636474609375
Evenings,XGBoost,1.9137521874936119,503.79888916015625
Evenings,XGBoost,1.9196689310564856,503.25738525390625
Evenings,XGBoost,1.9255856746193596,503.3706359863281
Evenings,XGBoost,1.9315024181822333,503.3706359863281
Evenings,XGBoost,1.9374191617451073,503.3706359863281
Evenings,XGBoost,1.943335905307981,503.3706359863281
Evenings,XGBoost,1.9492526488708548,504.1522216796875
Evenings,XGBoost,1.9551693924337288,504.9206237792969
Evenings,XGBoost,1.9610861359966025,504.9206237792969
Evenings,XGBoost,1.9670028795594763,504.9206237792969
Evenings,XGBoost,1.9729196231223503,504.9206237792969
Evenings,XGBoost,1.978836366685224,504.9206237792969
Evenings,XGBoost,1.9847531102480978,504.9206237792969
Evenings,XGBoost,1.9906698538109717,504.9206237792969
Evenings,XGBoost,1.9965865973738457,504.9206237792969
Evenings,XGBoost,2.0025033409367192,503.67657470703125
Evenings,XGBoost,2.008420084499593,503.67657470703125
Evenings,XGBoost,2.014336828062467,503.67657470703125
Evenings,XGBoost,2.020253571625341,503.67657470703125
Evenings,XGBoost,2.0261703151882147,503.67657470703125
Evenings,XGBoost,2.0320870587510886,503.67657470703125
Evenings,XGBoost,2.0380038023139626,503.67657470703125
Evenings,XGBoost,2.043920545876836,503.7229919433594
Evenings,XGBoost,2.04983728943971,503.7229919433594
Evenings,XGBoost,2.055754033002584,503.7229919433594
Evenings,XGBoost,2.0616707765654576,503.7229919433594
Evenings,XGBoost,2.0675875201283316,503.7229919433594
Evenings,XGBoost,2.0735042636912056,503.7229919433594
Evenings,XGBoost,2.079421007254079,503.7229919433594
Evenings,XGBoost,2.085337750816953,503.7229919433594
Evenings,XGBoost,2.091254494379827,503.7229919433594
Evenings,XGBoost,2.0971712379427006,503.7229919433594
Evenings,XGBoost,2.1030879815055745,503.7229919433594
Evenings,XGBoost,2.1090047250684485,503.7229919433594
Evenings,XGBoost,2.1149214686313225,503.7229919433594
Evenings,XGBoost,2.120838212194196,503.7229919433594
Evenings,XGBoost,2.12675495575707,503.4151916503906
Mornings Special,CatBoost,1.54099734303256,270.4463346267045
Mornings Special,CatBoost,1.5469140865954338,270.4463346267045
Mornings Special,CatBoost,1.5528308301583078,276.07428295695
Mornings Special,CatBoost,1.5587475737211816,276.07428295695
Mornings Special,CatBoost,1.5646643172840555,276.07428295695
Mornings Special,CatBoost,1.5705810608469293,276.07428295695
Mornings Special,CatBoost,1.576497804409803,276.07428295695
Mornings Special,CatBoost,1.582414547972677,276.07428295695
Mornings Special,CatBoost,1.5883312915355507,276.07428295695
Mornings Special,CatBoost,1.5942480350984247,276.07428295695
Mornings Special,CatBoost,1.6001647786612985,276.07428295695
Mornings Special,CatBoost,1.6060815222241722,276.07428295695
Mornings Special,CatBoost,1.6119982657870462,276.07428295695
Mornings Special,CatBoost,1.61791500934992,276.07428295695
Mornings Special,CatBoost,1.623831752912794,276.07428295695
Mornings Special,CatBoost,1.6297484964756677,276.07428295695
Mornings Special,CatBoost,1.6356652400385414,276.07428295695
Mornings Special,CatBoost,1.6415819836014154,276.07428295695
Mornings Special,CatBoost,1.6474987271642891,276.07428295695
Mornings Special,CatBoost,1.6534154707271629,276.07428295695
Mornings Special,CatBoost,1.6593322142900369,276.07428295695
Mornings Special,CatBoost,1.6652489578529106,276.07428295695
Mornings Special,CatBoost,1.6711657014157846,276.07428295695
Mornings Special,CatBoost,1.6770824449786583,276.07428295695
Mornings Special,CatBoost,1.6829991885415323,276.07428295695
Mornings Special,CatBoost,1.688915932104406,276.07428295695
