Dataset,Model,Road view mean,Predicted Value
All,CatBoost,0.40062289562289566,625.5148305945644
All,CatBoost,0.40495959595959596,625.5148305945644
All,CatBoost,0.4092962962962964,625.5148305945644
All,CatBoost,0.4136329966329967,625.5148305945644
All,CatBoost,0.417969696969697,625.5148305945644
All,CatBoost,0.4223063973063973,625.5148305945644
All,CatBoost,0.4266430976430977,625.5148305945644
All,CatBoost,0.430979797979798,625.4167059325995
All,CatBoost,0.4353164983164983,625.4167059325995
All,CatBoost,0.43965319865319863,625.4167059325995
All,CatBoost,0.44398989898989905,625.4167059325995
All,CatBoost,0.44832659932659935,625.4167059325995
All,CatBoost,0.45266329966329966,625.4167059325995
All,CatBoost,0.457,625.4167059325995
Mornings,CatBoost,0.0276666666666667,823.2290768395209
Mornings,CatBoost,0.032003367003367034,823.2290768395209
Mornings,CatBoost,0.036340067340067374,823.2290768395209
Mornings,CatBoost,0.040676767676767714,823.2290768395209
Mornings,CatBoost,0.04501346801346805,823.2290768395209
Mornings,CatBoost,0.04935016835016838,823.2290768395209
Mornings,CatBoost,0.05368686868686872,819.1725505634613
Mornings,CatBoost,0.05802356902356906,819.1725505634613
Mornings,CatBoost,0.062360269360269394,819.1725505634613
Mornings,CatBoost,0.06669696969696973,819.1725505634613
Mornings,CatBoost,0.07103367003367006,819.1725505634613
Mornings,CatBoost,0.07537037037037041,819.1725505634613
Mornings,CatBoost,0.07970707070707074,819.1725505634613
Mornings,CatBoost,0.08404377104377107,816.5938239169794
Mornings,CatBoost,0.08838047138047142,816.5938239169794
Mornings,CatBoost,0.09271717171717175,816.5938239169794
Mornings,CatBoost,0.09705387205387209,816.5938239169794
Mornings,CatBoost,0.10139057239057242,816.5803928314834
Mornings,CatBoost,0.10572727272727275,815.8142966491893
Mornings,CatBoost,0.1100639730639731,815.7788760755291
Mornings,CatBoost,0.11440067340067343,815.7852362101485
Mornings,CatBoost,0.11873737373737377,706.0993286707694
Mornings,CatBoost,0.12307407407407411,706.0993286707694
Mornings,CatBoost,0.12741077441077445,706.0993286707694
Mornings,CatBoost,0.13174747474747478,706.0993286707694
Mornings,CatBoost,0.1360841750841751,688.1900972984076
Mornings,CatBoost,0.14042087542087545,688.1900972984076
Mornings,CatBoost,0.1447575757575758,688.1900972984076
Mornings,CatBoost,0.1490942760942761,688.1900972984076
