Dataset,Model,15 Lamp density,Predicted Value
Mornings,CatBoost,0.009300966460310216,766.3889406541448
Mornings,CatBoost,0.009409810807458088,766.3889406541448
Mornings,CatBoost,0.009518655154605957,766.3889406541448
Mornings,CatBoost,0.009627499501753829,766.3889406541448
Mornings,CatBoost,0.009736343848901699,766.3889406541448
Mornings,CatBoost,0.00984518819604957,766.3889406541448
Mornings,CatBoost,0.00995403254319744,766.3889406541448
Mornings,CatBoost,0.010062876890345311,766.3889406541448
Mornings,CatBoost,0.010171721237493181,766.3889406541448
Mornings,CatBoost,0.010280565584641053,766.3889406541448
Mornings,CatBoost,0.010389409931788923,766.3889406541448
Mornings,CatBoost,0.010498254278936794,766.3889406541448
Mornings,CatBoost,0.010607098626084666,766.3889406541448
Mornings,CatBoost,0.010715942973232535,766.3889406541448
Mornings,CatBoost,0.010824787320380407,766.7106896892351
Mornings,CatBoost,0.010933631667528277,766.7106896892351
Mornings,CatBoost,0.011042476014676148,766.7106896892351
Mornings,CatBoost,0.011151320361824018,766.7106896892351
Mornings,CatBoost,0.01126016470897189,766.7106896892351
Mornings,CatBoost,0.01136900905611976,766.7106896892351
Mornings,CatBoost,0.01147785340326763,766.7106896892351
Mornings,CatBoost,0.0115866977504155,766.7106896892351
Mornings Special,CatBoost,0.0008111073827763,299.74244095691427
Mornings Special,CatBoost,0.0009199517299241707,299.74244095691427
Mornings Special,CatBoost,0.0010287960770720415,299.74244095691427
Mornings Special,CatBoost,0.0011376404242199121,299.74244095691427
Mornings Special,CatBoost,0.0012464847713677828,299.74244095691427
Mornings Special,CatBoost,0.0013553291185156536,299.74244095691427
Mornings Special,CatBoost,0.0014641734656635243,299.74244095691427
Mornings Special,CatBoost,0.001573017812811395,299.74244095691427
Mornings Special,CatBoost,0.0016818621599592656,299.74244095691427
Mornings Special,CatBoost,0.0017907065071071364,299.74244095691427
Mornings Special,CatBoost,0.001899550854255007,299.74244095691427
Mornings Special,CatBoost,0.0020083952014028775,299.74244095691427
Mornings Special,CatBoost,0.0021172395485507486,312.77510589139433
Mornings Special,CatBoost,0.0022260838956986192,312.77510589139433
Mornings Special,CatBoost,0.00233492824284649,312.77510589139433
Mornings Special,CatBoost,0.002443772589994361,304.3683230337333
Mornings Special,CatBoost,0.0025526169371422316,304.3683230337333
Mornings Special,CatBoost,0.0026614612842901023,304.3683230337333
Mornings Special,CatBoost,0.002770305631437973,304.3683230337333
Mornings Special,CatBoost,0.0028791499785858436,304.3683230337333
Mornings Special,CatBoost,0.002987994325733714,304.3683230337333
Mornings Special,CatBoost,0.003096838672881585,304.3683230337333
Mornings Special,CatBoost,0.0032056830200294555,304.3683230337333
Mornings Special,CatBoost,0.0033145273671773266,304.3683230337333
Mornings Special,CatBoost,0.0034233717143251972,304.3683230337333
Mornings Special,CatBoost,0.003532216061473068,304.3683230337333
Mornings Special,CatBoost,0.0036410604086209385,304.3683230337333
Mornings Special,CatBoost,0.003749904755768809,304.3683230337333
Mornings Special,CatBoost,0.00385874910291668,304.3683230337333
Mornings Special,CatBoost,0.003967593450064551,304.3683230337333
Mornings Special,CatBoost,0.0040764377972124215,304.3683230337333
Mornings Special,CatBoost,0.004185282144360292,304.3683230337333
Mornings Special,CatBoost,0.004294126491508163,304.3683230337333
Mornings Special,CatBoost,0.0044029708386560335,304.5147406006175
Mornings Special,CatBoost,0.004511815185803904,304.5147406006175
Mornings Special,CatBoost,0.004620659532951775,304.5147406006175
Mornings Special,CatBoost,0.004729503880099645,304.5147406006175
Mornings Special,CatBoost,0.004838348227247517,304.5147406006175
Mornings Special,CatBoost,0.004947192574395387,304.1773213199735
Mornings Special,CatBoost,0.005056036921543258,303.82694916749983
Mornings Special,CatBoost,0.005164881268691128,303.82694916749983
Mornings Special,CatBoost,0.0052737256158389995,303.76267386884086
Mornings Special,CatBoost,0.005382569962986869,303.76267386884086
Mornings Special,CatBoost,0.005491414310134741,303.76267386884086
Mornings Special,CatBoost,0.005600258657282611,303.66507448917076
Mornings Special,CatBoost,0.005709103004430482,303.66507448917076
Mornings Special,CatBoost,0.005817947351578354,303.66507448917076
Mornings Special,CatBoost,0.005926791698726223,303.62867356294674
Mornings Special,CatBoost,0.006035636045874095,303.62867356294674
Mornings Special,CatBoost,0.006144480393021965,303.62867356294674
Mornings Special,CatBoost,0.006253324740169836,303.5192808195057
Mornings Special,CatBoost,0.006362169087317706,303.5192808195057
Mornings Special,CatBoost,0.0064710134344655775,303.5192808195057
Mornings Special,CatBoost,0.006579857781613447,303.5192808195057
Mornings Special,CatBoost,0.006688702128761319,303.5192808195057
Mornings Special,CatBoost,0.006797546475909189,303.32267996592975
Mornings Special,CatBoost,0.00690639082305706,303.32267996592975
Mornings Special,CatBoost,0.00701523517020493,303.32267996592975
Mornings Special,CatBoost,0.007124079517352801,303.26179565806234
Mornings Special,CatBoost,0.007232923864500673,303.26179565806234
Mornings Special,CatBoost,0.007341768211648543,303.26179565806234
Mornings Special,CatBoost,0.007450612558796414,303.26179565806234
Mornings Special,CatBoost,0.007559456905944284,299.1263310743819
Mornings Special,CatBoost,0.0076683012530921555,298.77183703101093
Mornings Special,CatBoost,0.007777145600240025,298.9118524301105
Mornings Special,CatBoost,0.007885989947387897,298.9118524301105
Mornings Special,CatBoost,0.007994834294535767,298.2164450407443
Mornings Special,CatBoost,0.008103678641683638,298.3369917712549
Mornings Special,CatBoost,0.008212522988831508,298.3369917712549
Mornings Special,CatBoost,0.00832136733597938,298.3369917712549
Mornings Special,CatBoost,0.00843021168312725,298.67919942891996
Mornings Special,CatBoost,0.00853905603027512,298.67919942891996
Mornings Special,CatBoost,0.008647900377422992,298.67919942891996
Mornings Special,CatBoost,0.008756744724570862,298.9871534050682
Mornings Special,CatBoost,0.008865589071718733,298.9871534050682
Mornings Special,CatBoost,0.008974433418866603,298.86008392549235
Mornings Special,CatBoost,0.009083277766014475,298.86008392549235
Mornings Special,CatBoost,0.009192122113162346,298.86008392549235
Mornings Special,CatBoost,0.009300966460310216,298.86008392549235
Mornings Special,CatBoost,0.009409810807458088,298.86008392549235
Mornings Special,CatBoost,0.009518655154605957,298.86008392549235
Mornings Special,CatBoost,0.009627499501753829,298.86008392549235
Mornings Special,CatBoost,0.009736343848901699,298.86008392549235
Mornings Special,CatBoost,0.00984518819604957,298.86008392549235
Mornings Special,CatBoost,0.00995403254319744,298.86008392549235
Mornings Special,CatBoost,0.010062876890345311,298.86008392549235
Mornings Special,CatBoost,0.010171721237493181,298.86008392549235
Mornings Special,CatBoost,0.010280565584641053,298.86008392549235
Mornings Special,CatBoost,0.010389409931788923,298.86008392549235
Mornings Special,CatBoost,0.010498254278936794,298.86008392549235
Mornings Special,CatBoost,0.010607098626084666,298.86008392549235
Mornings Special,CatBoost,0.010715942973232535,298.86008392549235
Mornings Special,CatBoost,0.010824787320380407,294.7161876560284
Mornings Special,CatBoost,0.010933631667528277,294.7161876560284
Mornings Special,CatBoost,0.011042476014676148,294.7161876560284
Mornings Special,CatBoost,0.011151320361824018,294.7161876560284
Mornings Special,CatBoost,0.01126016470897189,294.7161876560284
Mornings Special,CatBoost,0.01136900905611976,294.7161876560284
Mornings Special,CatBoost,0.01147785340326763,294.8434882395067
Mornings Special,CatBoost,0.0115866977504155,294.8434882395067
