Dataset,Model,Closeness centrality,Predicted Value
Afternoons,LightGBM,0.01687878787878788,1209.9205302171838
Afternoons,LightGBM,0.017,1209.9205302171838
Afternoons,XGBoost,0.005,1304.759521484375
Afternoons,XGBoost,0.005121212121212121,1304.759521484375
Afternoons,XGBoost,0.005242424242424243,1304.759521484375
Afternoons,XGBoost,0.005363636363636364,1304.759521484375
Afternoons,XGBoost,0.005484848484848485,1304.759521484375
Afternoons,XGBoost,0.005606060606060606,1304.759521484375
Afternoons,XGBoost,0.0057272727272727275,1304.759521484375
Afternoons,XGBoost,0.0058484848484848485,1304.759521484375
Afternoons,XGBoost,0.0059696969696969695,1304.759521484375
Afternoons,XGBoost,0.006090909090909091,1304.759521484375
Afternoons,XGBoost,0.006212121212121212,1304.759521484375
Afternoons,XGBoost,0.006333333333333333,1304.759521484375
Afternoons,XGBoost,0.006454545454545454,1304.759521484375
Afternoons,XGBoost,0.006575757575757576,1304.759521484375
Afternoons,XGBoost,0.006696969696969697,1304.759521484375
Afternoons,XGBoost,0.006818181818181819,1304.759521484375
Afternoons,XGBoost,0.00693939393939394,1304.759521484375
Afternoons,XGBoost,0.007060606060606061,1308.82666015625
Afternoons,XGBoost,0.007181818181818182,1308.82666015625
Afternoons,XGBoost,0.0073030303030303025,1308.82666015625
Afternoons,XGBoost,0.007424242424242424,1308.82666015625
Afternoons,XGBoost,0.007545454545454545,1308.82666015625
Afternoons,XGBoost,0.007666666666666667,1308.82666015625
Afternoons,XGBoost,0.007787878787878788,1308.82666015625
Afternoons,XGBoost,0.007909090909090909,1308.82666015625
Afternoons,XGBoost,0.00803030303030303,1169.3892822265625
Afternoons,XGBoost,0.008151515151515151,1169.3892822265625
Afternoons,XGBoost,0.008272727272727272,1169.3892822265625
Afternoons,XGBoost,0.008393939393939395,1169.3892822265625
Afternoons,XGBoost,0.008515151515151516,1169.3892822265625
Afternoons,XGBoost,0.008636363636363636,1169.3892822265625
Afternoons,XGBoost,0.008757575757575757,1169.3892822265625
Afternoons,XGBoost,0.008878787878787878,1169.3892822265625
Afternoons,XGBoost,0.009000000000000001,1178.9757080078125
Afternoons,XGBoost,0.00912121212121212,1178.9757080078125
Afternoons,XGBoost,0.009242424242424243,1178.9757080078125
Afternoons,XGBoost,0.009363636363636364,1178.9757080078125
Afternoons,XGBoost,0.009484848484848485,1178.9757080078125
Afternoons,XGBoost,0.009606060606060606,1178.9757080078125
Afternoons,XGBoost,0.009727272727272727,1178.9757080078125
Afternoons,XGBoost,0.00984848484848485,1178.9757080078125
Afternoons,XGBoost,0.009969696969696969,1178.9757080078125
Afternoons,XGBoost,0.010090909090909091,1178.7056884765625
Afternoons,XGBoost,0.010212121212121212,1178.7056884765625
Afternoons,XGBoost,0.010333333333333333,1178.7056884765625
Afternoons,XGBoost,0.010454545454545454,1178.7056884765625
Afternoons,XGBoost,0.010575757575757575,1178.7056884765625
Afternoons,XGBoost,0.010696969696969698,1178.7056884765625
Afternoons,XGBoost,0.010818181818181817,1178.7056884765625
Afternoons,XGBoost,0.01093939393939394,1178.7056884765625
Afternoons,XGBoost,0.01106060606060606,1198.37353515625
Afternoons,XGBoost,0.011181818181818182,1198.37353515625
Afternoons,XGBoost,0.011303030303030303,1198.37353515625
Afternoons,XGBoost,0.011424242424242424,1198.37353515625
Afternoons,XGBoost,0.011545454545454546,1198.37353515625
Afternoons,XGBoost,0.011666666666666665,1198.37353515625
Afternoons,XGBoost,0.011787878787878788,1198.37353515625
Afternoons,XGBoost,0.011909090909090909,1198.37353515625
Afternoons,XGBoost,0.01203030303030303,1198.431884765625
Afternoons,XGBoost,0.012151515151515153,1198.431884765625
Afternoons,XGBoost,0.012272727272727272,1198.431884765625
